rule,n,hits,hit_rate,base_rate,lift
effort_low + downreject_low + ret20_low + vol_expand,284,0,0.0,0.0037542139135764633,0.0
undercut_low + ret20_low,282,0,0.0,0.0037542139135764633,0.0
downreject_low + undercut_low + hvclose_low + dist_high_near,279,0,0.0,0.0037542139135764633,0.0
effort_low + volcluster_high + hvclose_low + ret20_low,276,0,0.0,0.0037542139135764633,0.0
effort_low + undercut_low + ret20_high + range_expand,269,0,0.0,0.0037542139135764633,0.0
undercut_low + volcluster_high + dist_high_near + range_expand,267,0,0.0,0.0037542139135764633,0.0
absorb_high + downreject_low + ret20_low + range_expand,265,0,0.0,0.0037542139135764633,0.0
absorb_high + effort_low + ret20_high + range_expand,261,0,0.0,0.0037542139135764633,0.0
absorb_high + volcluster_high + hvclose_low + range_expand,260,0,0.0,0.0037542139135764633,0.0
effort_low + ret20_low + range_expand + vol_expand,259,0,0.0,0.0037542139135764633,0.0
hvclose_low + ret20_high + dist_high_near,258,0,0.0,0.0037542139135764633,0.0
volcluster_high + hvclose_low + ret20_low + range_expand,257,0,0.0,0.0037542139135764633,0.0
downreject_low + hvclose_low + ret20_low + vol_expand,256,0,0.0,0.0037542139135764633,0.0
undercut_low + ret20_high + dist_high_near + range_expand,256,0,0.0,0.0037542139135764633,0.0
effort_low + hvclose_low + range_expand + vol_expand,255,0,0.0,0.0037542139135764633,0.0
effort_low + ret20_high + dist_high_near + range_expand,249,0,0.0,0.0037542139135764633,0.0
effort_low + ret20_high + dist_high_near + vol_expand,246,0,0.0,0.0037542139135764633,0.0
absorb_high + effort_low + undercut_low + range_expand,244,0,0.0,0.0037542139135764633,0.0
downreject_low + hvclose_low + ret20_low + range_expand,244,0,0.0,0.0037542139135764633,0.0
effort_low + undercut_low + hvclose_low + dist_high_near,241,0,0.0,0.0037542139135764633,0.0
undercut_low + hvclose_low + range_expand,230,0,0.0,0.0037542139135764633,0.0
effort_low + undercut_low + dist_high_near + range_expand,229,0,0.0,0.0037542139135764633,0.0
absorb_high + effort_low + ret20_low,225,0,0.0,0.0037542139135764633,0.0
downreject_low + hvclose_low + ret20_high + dist_high_near,225,0,0.0,0.0037542139135764633,0.0
undercut_low + dist_high_near + range_expand + vol_expand,225,0,0.0,0.0037542139135764633,0.0
absorb_high + undercut_low + dist_high_near + range_expand,222,0,0.0,0.0037542139135764633,0.0
absorb_high + hvclose_low + range_expand + vol_expand,221,0,0.0,0.0037542139135764633,0.0
effort_low + undercut_low + ret20_low,212,0,0.0,0.0037542139135764633,0.0
downreject_low + undercut_low + ret20_low,210,0,0.0,0.0037542139135764633,0.0
volcluster_high + hvclose_low + dist_high_near,209,0,0.0,0.0037542139135764633,0.0
absorb_high + downreject_low + hvclose_low + range_expand,208,0,0.0,0.0037542139135764633,0.0
absorb_high + effort_low + dist_high_near + vol_expand,206,0,0.0,0.0037542139135764633,0.0
effort_low + dist_high_near + range_expand + vol_expand,206,0,0.0,0.0037542139135764633,0.0
hvclose_low + ret20_low + range_expand + vol_expand,206,0,0.0,0.0037542139135764633,0.0
absorb_high + hvclose_low + ret20_low,204,0,0.0,0.0037542139135764633,0.0
downreject_low + volcluster_high + hvclose_low + dist_high_near,196,0,0.0,0.0037542139135764633,0.0
absorb_high + effort_low + downreject_low + ret20_low,193,0,0.0,0.0037542139135764633,0.0
effort_low + undercut_low + dist_high_near + vol_expand,193,0,0.0,0.0037542139135764633,0.0
absorb_high + hvclose_low + dist_high_near,192,0,0.0,0.0037542139135764633,0.0
effort_low + hvclose_low + ret20_high + dist_high_near,191,0,0.0,0.0037542139135764633,0.0
absorb_high + effort_low + dist_high_near + range_expand,180,0,0.0,0.0037542139135764633,0.0
downreject_low + undercut_low + hvclose_low + range_expand,180,0,0.0,0.0037542139135764633,0.0
effort_low + hvclose_low + ret20_low + range_expand,176,0,0.0,0.0037542139135764633,0.0
hvclose_low + dist_high_near + range_expand,165,0,0.0,0.0037542139135764633,0.0
undercut_low + volcluster_high + ret20_low,164,0,0.0,0.0037542139135764633,0.0
effort_low + undercut_low + hvclose_low + range_expand,163,0,0.0,0.0037542139135764633,0.0
absorb_high + downreject_low + hvclose_low + ret20_low,160,0,0.0,0.0037542139135764633,0.0
undercut_low + volcluster_high + hvclose_low + range_expand,155,0,0.0,0.0037542139135764633,0.0
absorb_high + effort_low + volcluster_high + hvclose_low,154,0,0.0,0.0037542139135764633,0.0
undercut_low + hvclose_low + ret20_high + dist_high_near,154,0,0.0,0.0037542139135764633,0.0
downreject_low + hvclose_low + dist_high_near + range_expand,150,0,0.0,0.0037542139135764633,0.0
