rule,n,hits,hit_rate,base_rate,lift
downreject_low + undercut_low + volcluster_high + vol_expand,694,1,0.001440922190201729,0.0037542139135764633,0.38381462094924423
vol_expand,3524,5,0.0014188422247446084,0.0037542139135764633,0.3779332391299312
absorb_high + downreject_low + dist_high_near,1419,2,0.0014094432699083862,0.0037542139135764633,0.37542966446620935
absorb_high + volcluster_high + dist_high_near + vol_expand,738,1,0.0013550135501355014,0.0037542139135764633,0.36093136441568496
absorb_high + downreject_low + volcluster_high + vol_expand,1505,2,0.00132890365448505,0.0037542139135764633,0.35397654078242596
volcluster_high + dist_high_near,1555,2,0.0012861736334405145,0.0037542139135764633,0.34259465844215503
absorb_high + vol_expand,2344,3,0.001279863481228669,0.0037542139135764633,0.34091383993870583
downreject_low + dist_high_near + vol_expand,786,1,0.001272264631043257,0.0037542139135764633,0.3388897543750325
absorb_high + dist_high_near + vol_expand,806,1,0.0012406947890818859,0.0037542139135764633,0.3304805793285056
absorb_high + hvclose_low,887,1,0.0011273957158962795,0.0037542139135764633,0.3003014057934335
volcluster_high + dist_high_near + vol_expand,904,1,0.0011061946902654867,0.0037542139135764633,0.2946541448437782
undercut_low + volcluster_high + vol_expand,951,1,0.0010515247108307045,0.0037542139135764633,0.28009184746453786
absorb_high + dist_high_near,1912,2,0.0010460251046025104,0.0037542139135764633,0.2786269319443258
effort_low + downreject_low + volcluster_high + vol_expand,1042,1,0.0009596928982725527,0.0037542139135764633,0.25563085118884404
dist_high_near + vol_expand,1053,1,0.000949667616334283,0.0037542139135764633,0.25296044343663393
absorb_high + volcluster_high + vol_expand,2140,2,0.0009345794392523365,0.0037542139135764633,0.2489414457371734
downreject_low + volcluster_high + vol_expand,2274,2,0.0008795074758135445,0.0037542139135764633,0.2342720729452731
effort_low + volcluster_high + vol_expand,1226,1,0.0008156606851549756,0.0037542139135764633,0.21726537270699472
volcluster_high + vol_expand,3130,2,0.0006389776357827476,0.0037542139135764633,0.17020277759666166
downreject_low + ret20_low,1765,1,0.0005665722379603399,0.0037542139135764633,0.15091634387466032
ret20_low,2386,1,0.00041911148365465214,0.0037542139135764633,0.11163761397266367
range_expand,3542,0,0.0,0.0037542139135764633,0.0
downreject_low + range_expand,2681,0,0.0,0.0037542139135764633,0.0
volcluster_high + range_expand,2588,0,0.0,0.0037542139135764633,0.0
range_expand + vol_expand,2076,0,0.0,0.0037542139135764633,0.0
volcluster_high + range_expand + vol_expand,1957,0,0.0,0.0037542139135764633,0.0
downreject_low + volcluster_high + range_expand,1875,0,0.0,0.0037542139135764633,0.0
absorb_high + range_expand,1820,0,0.0,0.0037542139135764633,0.0
effort_low + range_expand,1801,0,0.0,0.0037542139135764633,0.0
absorb_high + volcluster_high + range_expand,1599,0,0.0,0.0037542139135764633,0.0
effort_low + downreject_low + range_expand,1557,0,0.0,0.0037542139135764633,0.0
downreject_low + range_expand + vol_expand,1480,0,0.0,0.0037542139135764633,0.0
downreject_low + volcluster_high + range_expand + vol_expand,1394,0,0.0,0.0037542139135764633,0.0
absorb_high + range_expand + vol_expand,1375,0,0.0,0.0037542139135764633,0.0
absorb_high + volcluster_high + range_expand + vol_expand,1320,0,0.0,0.0037542139135764633,0.0
effort_low + ret20_low,1296,0,0.0,0.0037542139135764633,0.0
volcluster_high + ret20_low,1295,0,0.0,0.0037542139135764633,0.0
absorb_high + downreject_low + range_expand,1289,0,0.0,0.0037542139135764633,0.0
effort_low + volcluster_high + range_expand,1181,0,0.0,0.0037542139135764633,0.0
absorb_high + downreject_low + volcluster_high + range_expand,1124,0,0.0,0.0037542139135764633,0.0
effort_low + downreject_low + ret20_low,1073,0,0.0,0.0037542139135764633,0.0
undercut_low + range_expand,1024,0,0.0,0.0037542139135764633,0.0
dist_high_near + range_expand,1002,0,0.0,0.0037542139135764633,0.0
effort_low + downreject_low + volcluster_high + range_expand,993,0,0.0,0.0037542139135764633,0.0
absorb_high + downreject_low + range_expand + vol_expand,949,0,0.0,0.0037542139135764633,0.0
hvclose_low + range_expand,943,0,0.0,0.0037542139135764633,0.0
downreject_low + volcluster_high + ret20_low,925,0,0.0,0.0037542139135764633,0.0
effort_low + range_expand + vol_expand,889,0,0.0,0.0037542139135764633,0.0
ret20_low + range_expand,881,0,0.0,0.0037542139135764633,0.0
absorb_high + undercut_low + dist_high_near,878,0,0.0,0.0037542139135764633,0.0
ret20_low + vol_expand,872,0,0.0,0.0037542139135764633,0.0
hvclose_low + ret20_low,851,0,0.0,0.0037542139135764633,0.0
ret20_high + range_expand,836,0,0.0,0.0037542139135764633,0.0
absorb_high + ret20_low,834,0,0.0,0.0037542139135764633,0.0
downreject_low + dist_high_near + range_expand,831,0,0.0,0.0037542139135764633,0.0
effort_low + volcluster_high + range_expand + vol_expand,826,0,0.0,0.0037542139135764633,0.0
volcluster_high + ret20_low + vol_expand,795,0,0.0,0.0037542139135764633,0.0
downreject_low + undercut_low + range_expand,791,0,0.0,0.0037542139135764633,0.0
hvclose_low + dist_high_near,783,0,0.0,0.0037542139135764633,0.0
effort_low + downreject_low + range_expand + vol_expand,760,0,0.0,0.0037542139135764633,0.0
downreject_low + hvclose_low + range_expand,759,0,0.0,0.0037542139135764633,0.0
volcluster_high + ret20_low + range_expand,749,0,0.0,0.0037542139135764633,0.0
undercut_low + volcluster_high + range_expand,748,0,0.0,0.0037542139135764633,0.0
volcluster_high + hvclose_low + vol_expand,736,0,0.0,0.0037542139135764633,0.0
downreject_low + hvclose_low + ret20_low,709,0,0.0,0.0037542139135764633,0.0
downreject_low + hvclose_low + dist_high_near,699,0,0.0,0.0037542139135764633,0.0
downreject_low + ret20_high + range_expand,696,0,0.0,0.0037542139135764633,0.0
volcluster_high + dist_high_near + range_expand,690,0,0.0,0.0037542139135764633,0.0
undercut_low + volcluster_high + dist_high_near,672,0,0.0,0.0037542139135764633,0.0
volcluster_high + hvclose_low + range_expand,671,0,0.0,0.0037542139135764633,0.0
absorb_high + downreject_low + undercut_low + dist_high_near,670,0,0.0,0.0037542139135764633,0.0
volcluster_high + ret20_high + range_expand,656,0,0.0,0.0037542139135764633,0.0
effort_low + undercut_low + range_expand,654,0,0.0,0.0037542139135764633,0.0
absorb_high + undercut_low + ret20_high + dist_high_near,648,0,0.0,0.0037542139135764633,0.0
downreject_low + ret20_low + range_expand,625,0,0.0,0.0037542139135764633,0.0
effort_low + volcluster_high + dist_high_near,620,0,0.0,0.0037542139135764633,0.0
undercut_low + range_expand + vol_expand,616,0,0.0,0.0037542139135764633,0.0
downreject_low + volcluster_high + hvclose_low + vol_expand,616,0,0.0,0.0037542139135764633,0.0
downreject_low + ret20_low + vol_expand,614,0,0.0,0.0037542139135764633,0.0
ret20_low + range_expand + vol_expand,605,0,0.0,0.0037542139135764633,0.0
absorb_high + effort_low + range_expand,604,0,0.0,0.0037542139135764633,0.0
absorb_high + ret20_high + range_expand,602,0,0.0,0.0037542139135764633,0.0
ret20_high + range_expand + vol_expand,599,0,0.0,0.0037542139135764633,0.0
absorb_high + dist_high_near + range_expand,598,0,0.0,0.0037542139135764633,0.0
effort_low + volcluster_high + ret20_low,594,0,0.0,0.0037542139135764633,0.0
undercut_low + volcluster_high + range_expand + vol_expand,586,0,0.0,0.0037542139135764633,0.0
volcluster_high + ret20_low + range_expand + vol_expand,581,0,0.0,0.0037542139135764633,0.0
absorb_high + downreject_low + ret20_low,578,0,0.0,0.0037542139135764633,0.0
absorb_high + effort_low + dist_high_near,573,0,0.0,0.0037542139135764633,0.0
dist_high_near + range_expand + vol_expand,570,0,0.0,0.0037542139135764633,0.0
volcluster_high + ret20_high + range_expand + vol_expand,570,0,0.0,0.0037542139135764633,0.0
effort_low + downreject_low + volcluster_high + dist_high_near,567,0,0.0,0.0037542139135764633,0.0
