symbol,market_cap_hkd,market_cap_hkd_bn,name
3738.HK,8634097664,8.63,VOBILE GROUP
0667.HK,8618035200,8.62,CHINA EAST EDU
6636.HK,8575877632,8.58,EXTREME VISION
2616.HK,8504589824,8.5,CSTONE PHARMA-B
0826.HK,8447499776,8.45,TIANGONG INT'L
2339.HK,8399709184,8.4,BWI INT'L
2391.HK,8387354112,8.39,TUYA-W
9879.HK,8375882752,8.38,MIGAO GROUP
2145.HK,8355269632,8.36,CHICMAX
1523.HK,8335630848,8.34,PLOVER BAY TECH
6871.HK,8289242112,8.29,ROBOTPHOENIX
1053.HK,8264032256,8.26,CHONGQING IRON
0376.HK,8229275648,8.23,YUNFENG FIN
2007.HK,8130479104,8.13,COUNTRY GARDEN
8137.HK,8122044928,8.12,HONBRIDGE
3625.HK,8097600512,8.1,FOURSEMI
1310.HK,8074911744,8.07,HKBN
2506.HK,8062577664,8.06,XUNFEIHEALTH
6196.HK,8046500352,8.05,BANKOFZHENGZHOU
1779.HK,8013819904,8.01,LONGBIO-B
2218.HK,7980793856,7.98,ANDRE JUICE
3788.HK,7945104896,7.95,HANKING GOLD
3887.HK,7918167552,7.92,HASHKEY HLDGS
2498.HK,7904467456,7.9,ROBOSENSE
2272.HK,7867339264,7.87,KEYTOP PARKING
3660.HK,7829935104,7.83,QFIN-S
0086.HK,7818306560,7.82,SUN HUNG KAI CO
2553.HK,7800000000,7.8,SHOUGANG LANZA
2632.HK,7786241024,7.79,NEW VISION CO
2005.HK,7762806272,7.76,SSY GROUP
1905.HK,7741181952,7.74,HAITONG UT
2655.HK,7724256768,7.72,GUOXIA TECH
6190.HK,7687891456,7.69,BANKOFJIUJIANG
2643.HK,7586897408,7.59,CAOCAO INC
1907.HK,7530015232,7.53,CHINA RISUN GP
1375.HK,7521473024,7.52,CC SECURITIES
2858.HK,7502871552,7.5,YIXIN
9966.HK,7493115904,7.49,ALPHAMAB-B
0881.HK,7479700992,7.48,ZHONGSHENG HLDG
0400.HK,7424143872,7.42,INGDAN
6745.HK,7407559168,7.41,BEFAR GROUP
3600.HK,7394304000,7.39,MODERN DENTAL
6715.HK,7382444032,7.38,XUNLONG SCITECH
2157.HK,7326025728,7.33,LEPU BIO
2171.HK,7265357824,7.27,CARSGEN-B
0751.HK,7231793152,7.23,SKYWORTH GROUP
7489.HK,7212800000,7.21,VOYAH AUTO
1187.HK,7204294144,7.2,COFOE MEDICAL
2718.HK,7184973312,7.18,MININGLAMP-W
2451.HK,7174160384,7.17,LUYUAN GP HLDG
2436.HK,7163033600,7.16,LX TECHNOLOGY
2657.HK,7104889344,7.1,FOREST CABIN
2465.HK,7096274432,7.1,LOPAL TECH
3633.HK,7059320832,7.06,ZHONGYU ENERGY
1475.HK,7013577728,7.01,NISSIN FOODS
0373.HK,7009800704,7.01,ALLIED GROUP
2186.HK,6990403072,6.99,LUYE PHARMA
0071.HK,6951054848,6.95,MIRAMAR HOTEL
1798.HK,6946384384,6.95,DATANG RENEW
2585.HK,6944784384,6.94,MOKINGRAN
3380.HK,6900119040,6.9,LOGAN GROUP
2533.HK,6881240064,6.88,BLACK SESAME
0108.HK,6858637312,6.86,SR MEDICAL
2670.HK,6844448256,6.84,YUNJI
2691.HK,6841372672,6.84,NANHUA FUTURES
0855.HK,6824058368,6.82,CHINA WATER
2190.HK,6820216832,6.82,ZYLOXTB
3868.HK,6745001984,6.75,XINYI ENERGY
2797.HK,6744999936,6.74,QIYUNSHAN FOOD
0737.HK,6696697344,6.7,BAY AREA DEV
0345.HK,6624561664,6.62,VITASOY INT'L
0638.HK,6604585472,6.6,FIBOCOM
1635.HK,6598691328,6.6,DZUG
0200.HK,6597246464,6.6,MELCO INT'L DEV
0694.HK,6571121664,6.57,BEIJING AIRPORT
2009.HK,6566829568,6.57,BBMG
0460.HK,6563511808,6.56,SIHUAN PHARM
6185.HK,6512074752,6.51,CANSINOBIO
1478.HK,6482282496,6.48,Q TECH
2558.HK,6422515200,6.42,JINSHANG BANK
6872.HK,6420759552,6.42,TENNOR THERAP-B
2722.HK,6392850944,6.39,CHONGQING M&E
1313.HK,6389388288,6.39,CR BLDG MAT TEC
0173.HK,6368511488,6.37,K. WAH INT'L
6069.HK,6352792576,6.35,SY HOLDINGS
1333.HK,6348097024,6.35,BRETON
0308.HK,6256396288,6.26,CHINA TRAVEL HK
1566.HK,6222585856,6.22,CA CULTURAL
1021.HK,6153524224,6.15,HUAYAN ROBOTICS
9936.HK,6150796800,6.15,XIMEI RESOURCES
0570.HK,6143677440,6.14,TRAD CHI MED
2877.HK,6137625088,6.14,SHINEWAY PHARM
2418.HK,6134334976,6.13,DEEWIN
2555.HK,6092148224,6.09,CHABAIDAO
6110.HK,6077197824,6.08,TOPSPORTS
1280.HK,5983565312,5.98,QIDIAN GUOFENG
0613.HK,5949351936,5.95,PLANETREE INT'L
2256.HK,5947658752,5.95,ABBISKO-B
2701.HK,5940390400,5.94,NSING TECH
3268.HK,5923673088,5.92,MEIG
1958.HK,5891273728,5.89,BAIC MOTOR
1757.HK,5856000000,5.86,GLOBAL CHI BC
2603.HK,5838439424,5.84,JIHONG CO
1065.HK,5818398720,5.82,TIANJIN CAPITAL
1302.HK,5809013248,5.81,LIFETECH SCI
0034.HK,5779962368,5.78,KOWLOON DEV
6078.HK,5749840384,5.75,HYGEIA HEALTH
2273.HK,5731081728,5.73,GUSHENGTANG
3316.HK,5716097024,5.72,BINJIANG SER
1983.HK,5680101376,5.68,LUZHOU BANK
1052.HK,5672019968,5.67,YUEXIUTRANSPORT
6687.HK,5635938304,5.64,JST GROUP
1609.HK,5606310400,5.61,STAR SPORTS MED
1691.HK,5541942272,5.54,JS GLOBAL LIFE
9989.HK,5517033984,5.52,HEPALINK
0215.HK,5421483008,5.42,HUTCHTEL HK
9658.HK,5395316224,5.4,SUPER HI
0604.HK,5339276288,5.34,SHENZHEN INVEST
0315.HK,5323100672,5.32,SMARTONE TELE
2597.HK,5317771264,5.32,XUNZHONG
2192.HK,5291815936,5.29,MEDLIVE
0775.HK,5286090240,5.29,CKLIFE SCIENCES
1951.HK,5271934464,5.27,JXR
3952.HK,5253620224,5.25,LAIFUAL
9678.HK,5224846848,5.22,UNISOUND
1300.HK,5215600128,5.22,TRIGIANT
0839.HK,5208582144,5.21,CHINA EDU GROUP
1610.HK,5200567808,5.2,COFCO JOYCOME
9893.HK,5177945088,5.18,PIZU GROUP
1789.HK,5140000768,5.14,AK MEDICAL
1184.HK,5100574720,5.1,S.A.S. DRAGON
2068.HK,5079321600,5.08,CHALIECO
6915.HK,5026549760,5.03,JIANGXI BIO
0866.HK,5018360832,5.02,CHINA QINFA
2678.HK,5001564160,5.0,TEXHONG INTL GP
