symbol,market_cap_hkd,market_cap_hkd_bn,name
1072.HK,66780934144,66.78,DONGFANG ELEC
3698.HK,66462695424,66.46,HUISHANG BANK
0322.HK,66070167552,66.07,TINGYI
2016.HK,65915129856,65.92,CZBANK
0135.HK,65122947072,65.12,KUNLUN ENERGY
2249.HK,64227786752,64.23,NEXCHIP
2618.HK,64059965440,64.06,JD LOGISTICS
2333.HK,63973294080,63.97,GWMOTOR
0148.HK,62595420160,62.6,KINGBOARD HLDG
1258.HK,62393552896,62.39,CHINFMINING
6806.HK,61723459584,61.72,SWHY
9927.HK,60621078528,60.62,SERES
1186.HK,60157366272,60.16,CHINA RAIL CONS
6969.HK,60004687872,60.0,SMOORE INTL
0291.HK,59105677312,59.11,CHINA RES BEER
0004.HK,58920210432,58.92,WHARF HOLDINGS
0270.HK,57336692736,57.34,GUANGDONG INV
0670.HK,57317679104,57.32,CHINA EAST AIR
6821.HK,56840564736,56.84,ASYMCHEM
3200.HK,55649083392,55.65,HANS CNC
9630.HK,55613345792,55.61,CFMEE
2688.HK,55236943872,55.24,ENN ENERGY
1800.HK,55207944192,55.21,CHINA COMM CONS
2638.HK,54872805376,54.87,HKELECTRIC-SS
3759.HK,54236610560,54.24,PHARMARON
1055.HK,53638074368,53.64,CHINA SOUTH AIR
9696.HK,53486673920,53.49,TIANQI LITHIUM
0285.HK,53412458496,53.41,BYD ELECTRONIC
0087.HK,53402988544,53.4,SWIRE PACIFIC B
0168.HK,53367308288,53.37,TSINGTAO BR-500
9863.HK,52976734208,52.98,LEAPMOTOR
2313.HK,52659372032,52.66,SHENZHOU INTL
1508.HK,52250165248,52.25,CHINA RE
9660.HK,52216569856,52.22,HORIZONROBOT-W
3396.HK,52072706048,52.07,LEGENDHOLDING
3223.HK,51752644608,51.75,INGENIC
0020.HK,51658653696,51.66,SENSETIME-W
0177.HK,51636912128,51.64,JIANGSU EXPRESS
6862.HK,51474120704,51.47,HAIDILAO
1364.HK,51175071744,51.18,GUMING
2799.HK,50956640256,50.96,CITIC FAMC
0023.HK,50920062976,50.92,BANK OF E ASIA
1989.HK,50865086464,50.87,DELTON
2076.HK,50821345280,50.82,BOSS ZHIPIN-W
1157.HK,50766901248,50.77,ZOOMLION
9698.HK,49918070784,49.92,GDS-SW
2588.HK,49691136000,49.69,BOC AVIATION
0241.HK,49577295872,49.58,ALI HEALTH
1688.HK,49533865984,49.53,LINGYI ITECH
6198.HK,49202540544,49.2,QINGDAO PORT
3958.HK,48600809472,48.6,DFZQ
0991.HK,48580116480,48.58,DATANG POWER
9626.HK,48113451008,48.11,BILIBILI-W
3998.HK,47820812288,47.82,BOSIDENG
0470.HK,47146074112,47.15,WUXI LEAD
1071.HK,47143800832,47.14,HUADIAN POWER
2727.HK,46931165184,46.93,SH ELECTRIC
2018.HK,46880538624,46.88,AAC TECH
1099.HK,46872252416,46.87,SINOPHARM
2196.HK,46251835392,46.25,FOSUN PHARMA
3996.HK,46230990848,46.23,CH ENERGY ENG
2442.HK,46144798720,46.14,EASY SMART GP
6166.HK,46068121600,46.07,CIG
6880.HK,45058424832,45.06,MOMENTA-W
1828.HK,44684161024,44.68,FWD
0486.HK,44515536896,44.52,RUSAL
9995.HK,44494319616,44.49,REMEGEN
3311.HK,44185739264,44.19,CHINA STATE CON
0916.HK,44181626880,44.18,CHINA LONGYUAN
1070.HK,43408482304,43.41,TCL ELECTRONICS
3668.HK,42835054592,42.84,YANCOAL AUS
6963.HK,42383110144,42.38,SUNSHINE INS
2039.HK,41765068800,41.77,CIMC
2723.HK,41168347136,41.17,DEEPZERO
2577.HK,41142194176,41.14,INNOSCIENCE
0008.HK,41063145472,41.06,PCCW
0656.HK,40999817216,41.0,FOSUN INTL
1729.HK,40761425920,40.76,TIME INTERCON
9880.HK,40700002304,40.7,UBTECH ROBOTICS
2607.HK,39939055616,39.94,SH PHARMA
1530.HK,39118831616,39.12,3SBIO
0960.HK,39103332352,39.1,LONGFOR GROUP
3347.HK,39004479488,39.0,TIGERMED
1456.HK,38973579264,38.97,GLMS SEC
6088.HK,38505381888,38.51,FIT HON TENG
2526.HK,38395813888,38.4,DIAGENS-B
3898.HK,38271029248,38.27,TIMES ELECTRIC
