symbol,status,grade,quality_score,market_cap_hkd,market_cap_hkd_bn,current_price,day_low,breakout_level,ema20_live,ema20_breakout_distance_pct,rs_vs_2800_pct,pct_below_52w_high,breakout_age_days,undercut_vs_breakout_pct,shallow_bonus,headroom_bonus,congestion_score,congestion_status,touched_breakout_today,touched_ema20_today,above_both_now
2602.HK,READY_NOW,A,9,21646974976.0,21.65,18.9,18.58,18.848,18.819,0.157,21.59,21.01,14,-1.42,0,0,3,BOTH,True,True,True
6198.HK,READY_NOW,B,8,49202540544.0,49.2,7.55,7.415,7.402,7.398,0.062,10.85,2.2,10,0.17,2,1,1,FORMING_NOW,True,True,True
2225.HK,READY_NOW,C,3,30177804288.0,30.18,5.83,5.66,5.79,5.689,1.739,63.32,16.6,10,-2.25,0,0,1,FORMING_NOW,True,True,True
3877.HK,READY_NOW,D,3,15170356224.0,15.17,2.42,2.37,2.405,2.39,0.608,5.49,5.08,9,-1.46,0,1,2,BOTH,True,True,True
