symbol,marker,blue_marker,candle,current_price,day_open,day_high,day_low,day_volume,breakout_level,breakout_age_days,ema20_live,ema50_live,sma200_live,distance_above_ema20_pct,avg_volume_20,avg_dollar_volume_20,pct_below_52w_high,benchmark_symbol,rs_vs_benchmark_pct,rs_vs_spy_pct,market_pass,strong_uptrend,not_overextended,liquid_stock,near_year_high,outperforming_benchmark,outperforming_spy,slight_undercut,reclaimed_level,bullish_reclaim_candle,market_cap_hkd
1919.HK,ENTRY,True,BULL,17.55,17.21,17.59,17.03,26465790.0,17.27,4,16.5153,15.5918,14.2275,6.265,21317377.0,354633777.0,2.716,SPY,22.487,22.487,True,True,True,True,True,True,True,True,True,True,
1308.HK,ENTRY,True,BULL,47.42,46.0,47.5,46.0,7853222.0,47.28,4,43.5283,39.6688,32.2626,8.941,5239880.0,230623424.0,5.16,SPY,36.077,36.077,True,True,True,True,True,True,True,True,True,True,
