feature,gap_mean,normal_mean,std_diff
effort_no_down20,0.13274336283185842,0.616267680131646,-0.743917590609394
dist60high,-0.21398031901629627,-0.11123424929285435,-0.6307621317664952
down_reject20,0.017699115044247787,0.2470712690514438,-0.6304917401995598
updown_vol20,0.9589943894545226,1.216921264534924,-0.4076516550107053
volume_cluster10,3.0265486725663715,2.371468871214199,0.3603028765918003
highvol_close_strength10,0.4539793754739701,0.5090537870187362,-0.29531152790163007
vol_asym20,0.9600565762432861,1.0573570358475193,-0.2644015591435414
absorb20,1.8672566371681416,1.464052031500999,0.2566262544827865
resilience20,1.1462733175022946,1.317632347394614,-0.2146821576564802
ret20,-0.023436537595008595,0.012230250958216725,-0.21080640678887783
undercut_reclaim20,1.4867256637168142,1.6193237472084003,-0.08918018666551676
vol_contract10_40,1.0246613561593114,1.0066099433859779,0.05364543248171138
range_contract10_40,1.0042952232224225,0.997055299357982,0.03862214876343598
