group,n,mean3,win3,med3,maxup3,maxdd3,mean5,win5,med5,maxup5,maxdd5,mean10,win10,med10,maxup10,maxdd10
vol_expand=1;ema20_reclaim=1;prev_high_reclaim=1,20,0.005067749444948676,0.5789473684210527,0.00879169035803451,0.03612754648460153,-0.02239246911550884,0.0129773200594649,0.6842105263157895,0.017446248803065334,0.043317614236434696,-0.026215474949279328,0.01942099535406718,0.5263157894736842,0.007923281271357219,0.06215438098906706,-0.03264084159775518
vol_expand=0;ema20_reclaim=0;prev_high_reclaim=0,1619,0.0034576960504332345,0.5374613003095975,0.002509826138761717,0.02759704491283429,-0.02354198423792754,0.003931442313327002,0.5313081215127092,0.003270123666422986,0.036607009183574964,-0.03210171559017424,0.008369845051800608,0.5394655065257924,0.005924148850284805,0.05485885976939824,-0.04598389783950149
vol_expand=1;ema20_reclaim=1;prev_high_reclaim=0,191,0.00484504338625271,0.5497382198952879,0.002837768519759587,0.02851679411005493,-0.02470964069622073,0.005127467300587507,0.5497382198952879,0.0036219675171296206,0.03710477309439672,-0.03186370126950037,0.007892080698990592,0.6020942408376964,0.014525179052205406,0.05235571357279614,-0.045169002186387704
vol_expand=1;ema20_reclaim=0;prev_high_reclaim=0,1235,0.0031356026210810697,0.5538461538461539,0.004255388759907275,0.03194144496785311,-0.03237367687546938,0.003364597768059834,0.5198380566801619,0.0019570590354291983,0.04087055101986691,-0.04233409184052194,0.003090466347506617,0.5251215559157212,0.003612379458003856,0.0603490175200189,-0.06312701488952448
vol_expand=0;ema20_reclaim=1;prev_high_reclaim=0,325,0.004453047597903703,0.5846153846153846,0.005642373055546379,0.024911939414457938,-0.021326265042360543,0.004038121030956376,0.5446153846153846,0.003016647167267239,0.03319477003664621,-0.027690201663956204,0.002415045639167293,0.5108359133126935,0.0036881762141116603,0.049339884989755625,-0.04432225137736473
