setup,score,vol_expand,ema20_reclaim,prev_high_reclaim,clv,body_frac,vol_ratio,ret1,maxup1,maxdd1,ret3,maxup3,maxdd3,ret5,maxup5,maxdd5,ret10,maxup10,maxdd10,symbol,market,date
True,6,True,False,False,0.7708704014223076,0.7304886272218362,2.6500624008269242,0.09310082994715563,0.10272186185256804,0.01594982198595063,0.10747736981132605,0.11208647243430292,0.01594982198595063,0.05732356275101269,0.11208647243430292,0.01594982198595063,0.016864043908374926,0.11208647243430292,-0.09277151694653973,AAPL,US,2020-02-28
True,5,False,False,False,0.7414595831793223,0.5357136087496318,1.0946418719504218,-0.0076620700188081425,0.025013153989832837,-0.01645924095504847,-0.09040429616044376,0.025013153989832837,-0.13807930045416794,-0.004662026034406019,0.04694537024919132,-0.13807930045416794,-0.0233509728311041,0.06413432540834418,-0.13807930045416794,AAPL,US,2020-03-18
True,6,True,False,False,0.9071887759274447,0.42548833053090424,1.4001861087712442,0.02370017378248379,0.024725938666437353,0.009339712539693679,0.026183778212404363,0.028235308318818486,0.006829306722926143,0.14733064042012978,0.14900422262547397,0.006829306722926143,0.20188793448175546,0.2353561658732075,0.006829306722926143,AAPL,US,2020-07-24
True,5,False,False,False,0.9844851130042908,0.7813819203896266,0.94471121147846,0.01571588417286729,0.025254429932529687,-0.008357463044672664,-0.01689673702152472,0.025254429932529687,-0.04614820321225244,0.04433111251184818,0.047601466034008055,-0.04614820321225244,0.05832105781301644,0.06940392376036009,-0.04614820321225244,AAPL,US,2020-09-21
True,5,False,False,False,0.7914110860178587,0.3865011291964555,0.9855755728214126,0.007467459046853753,0.013719099208568952,2.2954754408388567e-07,0.03368944131928964,0.05036043488262676,2.2954754408388567e-07,0.06868117583462419,0.0720673065355919,2.2954754408388567e-07,0.05739336105463022,0.09360068921731002,2.2954754408388567e-07,AAPL,US,2020-11-24
True,5,False,False,False,0.9284070606228273,0.7182446409252564,1.0378495826947562,0.01678378623325627,0.017364486876541907,-0.007956294293891664,0.0,0.028979411664852517,-0.007956294293891664,-0.013879891109149334,0.028979411664852517,-0.01614482770323311,-0.07207164870643801,0.028979411664852517,-0.10157401649215925,AAPL,US,2022-01-10
True,5,False,False,False,0.7682132589594769,0.5000025262860032,0.8425025067933305,0.023152589309007654,0.024100029366575404,0.008112362394762762,0.0,0.02640922833135484,-0.002427780970245097,-0.027001299994161454,0.02640922833135484,-0.039850741024277325,-0.03363346890028185,0.02640922833135484,-0.09995281290695623,AAPL,US,2022-02-14
True,6,True,False,False,0.9898617006016314,0.936405340713803,1.5194163098962312,0.012965449116239647,0.014624469634072268,-0.011490804853941272,0.0028266412350441694,0.02371891957517569,-0.011490804853941272,0.021445372821372377,0.037913409723558944,-0.011490804853941272,-0.02593070649829332,0.037913409723558944,-0.0426444332102619,AAPL,US,2022-02-24
True,6,True,False,False,0.9384301884836429,0.37367578740030083,1.1793599243020243,-0.037328247294585726,-0.003315524444208795,-0.037819417584267545,0.0046658632886347196,0.010068642979337517,-0.0460462157914685,-0.030206369048981663,0.020383139283582707,-0.059000584695347524,-0.06505772032655299,0.0221021201831213,-0.06856232173129284,AAPL,US,2022-04-25
True,6,True,False,False,0.8773356119791689,0.35200195312500476,1.125760236102101,-0.01361111485906552,0.015193663447432115,-0.018928893334370422,-0.01266141057923098,0.015193663447432115,-0.02753863301762305,-0.0037348994508102917,0.015193663447432115,-0.033426135615332364,-0.04596103858627909,0.03988330587663569,-0.06071161968784966,AAPL,US,2022-09-01
