feature,power_rate,control_rate,difference,power_mean,control_mean,std_diff
ema20_gt_ema50,1.0,0.5454545454545454,0.4545454545454546,,,
trend_stack,0.7777777777777778,0.3838383838383838,0.393939393939394,,,
shallow_pullback_8,0.8888888888888888,0.5151515151515151,0.3737373737373737,,,
near_high_5,0.3333333333333333,0.26262626262626265,0.07070707070707066,,,
range_contract_075,0.8888888888888888,0.46464646464646464,0.4242424242424242,,,
range_vs_prior_075,0.6666666666666666,0.5353535353535354,0.13131313131313127,,,
volume_dry_080,0.2222222222222222,0.12121212121212122,0.101010101010101,,,
volume_expand_110,0.3333333333333333,0.3939393939393939,-0.06060606060606061,,,
atr_contract_080,0.0,0.13131313131313133,-0.13131313131313133,,,
atr_expand_110,0.4444444444444444,0.36363636363636365,0.08080808080808077,,,
higher_lows_2of2,0.1111111111111111,0.2222222222222222,-0.1111111111111111,,,
close_gt_ema20,0.7777777777777778,0.5656565656565656,0.21212121212121215,,,
ret60_pct,,,3.947083029606252,5.858702352005456,1.9116193223992044,0.2859786883336989
max_drawdown60_pct,,,-1.1821420523463786,-17.79986095369961,-16.617718901353232,-0.13480607228760927
pullback_from_60d_close_high_pct,,,-5.763904379605941,4.654639073393667,10.418543452999607,-0.7658892239185608
dist_from_60d_high_pct,,,-5.540187283185556,6.593744091587105,12.133931374772661,-0.7255144639206494
ema20_slope10_pct,,,3.6354777979360824,3.814772276599016,0.17929447866293366,0.9052709122091375
higher_low_score,,,-0.202020202020202,0.7777777777777778,0.9797979797979798,-0.2989334822364083
range10_pct,,,3.0151179251838904,16.48459708282707,13.469479157643178,0.3763109637555083
range20_pct,,,7.513803062390885,26.345837813207577,18.832034750816693,0.58760123673034
range10_vs20,,,-0.09764531777700203,0.646384226824952,0.744029544601954,-0.6122284397594546
range10_vs_prev20,,,-0.07487974361687189,0.7996780124598413,0.8745577560767132,-0.17372207592007594
atr10_vs40,,,-0.017030357295461318,1.0473129044127112,1.0643432617081725,-0.08300344717897744
vol10_vs40,,,-0.05952848974569491,1.0216455500063217,1.0811740397520166,-0.24025043862788115
up_days20_pct,,,0.7575757575757578,50.0,49.24242424242424,0.07515004729999146
ret_std10_pct,,,0.46585250322181304,2.8646370273120976,2.3987845240902845,0.28302485970108054
