symbol,market,status,delay,entry_price,stop,risk_pct,target_1R,target_2R,both_highs,us_high_quality,reversal_date,reversal_close,reversal_high,reversal_low,prev5_high,clv,body_frac,vol_ratio20,vol_expand,ema20_reclaim_on_day1,prev5_high_reclaim_on_day1,score
3968.HK,HK,CONFIRMED_ENTRY,2,52.099998474121094,50.5,0.030710144356642134,53.69999694824219,55.29999542236328,False,False,2026-09-17,51.29999923706055,51.400001525878906,50.5,52.75,0.8888865341414827,0.6666638409697792,0.5912507637806729,False,True,False,6
2016.HK,HK,CONFIRMED_ENTRY,2,2.440000057220459,2.359999895095825,0.03278695092153664,2.5200002193450928,2.6000003814697266,False,False,2026-09-17,2.4000000953674316,2.4000000953674316,2.359999895095825,2.4749999046325684,1.0,0.4999970197826826,0.5576999615079565,False,True,False,6
2388.HK,HK,CONFIRMED_ENTRY,2,52.400001525878906,50.400001525878906,0.03816793781985398,54.400001525878906,56.400001525878906,False,False,2026-09-17,51.95000076293945,52.04999923706055,50.400001525878906,53.849998474121094,0.9393947800997371,0.5757588368162724,0.9676491292168227,False,True,False,6
3868.HK,HK,CONFIRMED_ENTRY,1,0.800000011920929,0.7649999856948853,0.04375003213062834,0.8350000381469727,0.8700000643730164,False,False,2026-09-18,0.7950000166893005,0.7950000166893005,0.7649999856948853,0.8050000071525574,1.0,0.6666673289398133,3.5403468905979443,True,False,False,6
2357.HK,HK,CONFIRMED_ENTRY,3,2.934999942779541,2.7750000953674316,0.05451442948260649,3.0949997901916504,3.2549996376037598,False,False,2026-09-16,2.8450000286102295,2.8499999046325684,2.7750000953674316,3.0350000858306885,0.9333348168304871,0.600002543137978,1.120099477991207,True,False,False,6
3958.HK,HK,CONFIRMED_ENTRY,3,5.820000171661377,5.59499979019165,0.03865985821878386,6.0450005531311035,6.27000093460083,False,False,2026-09-16,5.699999809265137,5.715000152587891,5.59499979019165,5.949999809265137,0.8749975164806345,0.3749955296651421,0.6595296753969188,False,False,False,5
1997.HK,HK,CONFIRMED_ENTRY,3,31.0,29.459999084472656,0.04967744888797883,32.540000915527344,34.08000183105469,False,False,2026-09-16,30.0,30.020000457763672,29.459999084472656,31.979999542236328,0.9642849844347109,0.3928549533041328,0.905716092354224,False,False,False,5
1428.HK,HK,CONFIRMED_ENTRY,3,7.21999979019165,6.849999904632568,0.05124652303476876,7.589999675750732,7.9599995613098145,False,False,2026-09-16,7.039999961853027,7.074999809265137,6.849999904632568,7.385000228881836,0.8444450566800675,0.4000008477108628,0.5130323358315187,False,False,False,5
2788.HK,HK,CONFIRMED_ENTRY,2,16.959999084472656,15.760000228881836,0.07075465332362264,18.159997940063477,19.359996795654297,False,False,2026-09-17,16.43000030517578,16.600000381469727,15.760000228881836,18.229999542236328,0.7976189935558876,0.5119050322205622,0.7600760076751356,False,False,False,5
2050.HK,HK,CONFIRMED_ENTRY,3,24.901121139526367,22.951991094180077,0.07827479069817352,26.850251184872658,28.79938123021895,False,False,2026-09-16,23.648109436035156,23.807221874727194,22.951991094180077,25.418234575528093,0.8139537978389311,0.5348844945973257,1.0570778423266582,False,False,False,5
6938.HK,HK,CONFIRMED_ENTRY,3,57.150001525878906,49.20000076293945,0.13910762118421816,65.10000228881836,73.05000305175781,False,False,2026-09-16,51.29999923706055,52.0,49.20000076293945,59.54999923706055,0.749999659401937,0.42857181782635767,0.8623988024368235,False,False,False,5
2595.HK,HK,WATCH,0,,23.739999771118164,,,,,False,2026-09-21,29.459999084472656,30.260000228881836,23.739999771118164,26.8799991607666,0.8773004465886838,0.3803680012450422,12.275231355007195,True,True,True,8
1109.HK,HK,WATCH,0,,27.520000457763672,,,,,False,2026-09-21,29.18000030517578,29.420000076293945,27.520000457763672,29.459999084472656,0.8736843056295908,0.4421054322303837,1.5787667116296173,True,False,False,6
1898.HK,HK,WATCH,0,,10.380000114440918,,,,,False,2026-09-21,10.829999923706055,10.920000076293945,10.380000114440918,11.170000076293945,0.8333330389893877,0.7037039653427665,1.3668129028812703,True,False,False,6
