symbol,status,grade,quality_score,current_price,day_low,breakout_level,ema20_live,ema20_breakout_distance_pct,rs_vs_spy_pct,pct_below_52w_high,breakout_age_days,undercut_vs_breakout_pct,shallow_bonus,headroom_bonus,congestion_score,congestion_status,touched_breakout_today,touched_ema20_today,above_both_now
MCK,WATCH_CLUSTER,D,4,923.175,916.14,860.086,883.095,2.675,20.38,7.39,26,6.52,2,1,1,PRE_BREAKOUT,False,False,True
GSL,WATCH_CLUSTER,D,4,45.53,45.2,44.8,43.72,2.411,20.11,-0.18,6,0.89,2,0,2,FORMING_NOW,False,False,True
OSBC,WATCH_CLUSTER,D,4,25.66,25.55,24.761,25.262,2.022,18.42,1.53,26,3.18,2,0,2,BOTH,False,False,True
INSM,WATCH_CLUSTER,D,4,125.44,124.05,119.54,122.366,2.364,17.85,41.04,19,3.77,2,0,2,BOTH,False,False,True
JJSF,WATCH_CLUSTER,D,4,86.515,85.34,84.7,87.071,2.799,16.07,19.01,19,0.76,2,0,2,FORMING_NOW,False,True,False
PJT,WATCH_CLUSTER,D,4,184.8,180.03,179.74,176.105,2.023,13.86,5.09,3,0.16,2,1,1,PRE_BREAKOUT,True,False,True
MFG,WATCH_CLUSTER,D,4,11.285,11.195,10.86,10.622,2.19,13.56,-1.76,14,3.08,2,0,2,BOTH,False,False,True
NWSA,WATCH_CLUSTER,D,4,30.88,30.685,29.17,30.011,2.883,13.34,2.46,19,5.19,2,1,1,PRE_BREAKOUT,False,False,True
NWS,WATCH_CLUSTER,D,4,34.66,34.37,33.14,33.942,2.42,10.9,3.08,19,3.71,2,1,1,PRE_BREAKOUT,False,False,True
CNX,WATCH_CLUSTER,D,4,37.94,37.6,37.05,36.253,2.152,9.78,13.02,1,1.48,2,0,2,PRE_BREAKOUT,False,False,True
ET,WATCH_CLUSTER,D,4,21.505,21.42,21.12,21.078,0.201,9.73,1.22,11,1.42,2,0,2,BOTH,False,False,True
QCRH,WATCH_CLUSTER,D,4,102.27,101.92,101.83,101.485,0.339,8.41,5.4,26,0.09,2,1,1,PRE_BREAKOUT,True,False,True
OKE,WATCH_CLUSTER,D,4,96.41,95.45,95.48,93.913,1.641,7.97,3.45,11,-0.03,2,1,1,FORMING_NOW,True,False,True
DMLP,WATCH_CLUSTER,D,4,29.25,29.155,28.61,28.275,1.172,7.34,1.18,8,1.9,2,0,2,FORMING_NOW,False,False,True
ARCC,WATCH_CLUSTER,D,4,20.02,19.895,19.72,19.81,0.458,6.92,1.98,18,0.89,2,0,2,BOTH,False,False,True
SAIC,WATCH_CLUSTER,D,4,126.11,124.84,123.01,125.638,2.137,6.83,11.6,19,1.49,2,0,2,PRE_BREAKOUT,False,True,True
ALC,WATCH_CLUSTER,D,4,72.04,71.195,73.73,72.209,2.062,6.49,17.4,16,-3.44,0,0,4,BOTH,True,True,False
PBI-PB,WATCH_CLUSTER,D,4,21.705,21.698,21.471,21.221,1.164,5.55,0.71,8,1.06,2,0,2,BOTH,False,False,True
MT,WATCH_CLUSTER,D,4,75.95,75.38,72.351,73.334,1.358,4.51,-0.03,21,4.19,2,0,2,BOTH,False,False,True
ETV,WATCH_CLUSTER,D,4,15.32,15.25,15.3,15.148,0.995,2.96,1.1,3,-0.33,2,0,2,PRE_BREAKOUT,True,False,True
AVAH,WATCH_CLUSTER,D,3,13.406,13.02,12.76,12.48,2.192,100.49,4.25,10,2.04,2,1,0,NONE,False,False,True
WIX,WATCH_CLUSTER,D,3,81.607,81.46,80.66,78.863,2.228,50.26,57.26,9,0.99,2,0,1,PRE_BREAKOUT,False,False,True
NAT,WATCH_CLUSTER,D,3,7.035,6.995,6.94,6.768,2.484,37.81,2.29,10,0.79,2,1,0,NONE,False,False,True
CMG,WATCH_CLUSTER,D,3,37.675,37.525,37.09,36.311,2.101,31.98,12.02,24,1.17,2,0,1,PRE_BREAKOUT,False,False,True
WTW,WATCH_CLUSTER,D,3,340.68,338.5,345.52,335.944,2.771,30.52,3.08,7,-2.03,0,1,2,BOTH,True,False,False
LAD,WATCH_CLUSTER,D,3,377.965,368.12,360.567,369.433,2.459,28.6,13.84,25,2.09,2,0,1,PRE_BREAKOUT,False,True,True
NMM,WATCH_CLUSTER,D,3,91.17,90.995,87.66,85.881,2.03,26.08,0.86,8,3.8,2,0,1,FORMING_NOW,False,False,True
USPH,WATCH_CLUSTER,D,3,78.0,77.765,76.198,77.99,2.351,25.31,14.42,26,2.06,2,0,1,FORMING_NOW,False,True,True
UVE,WATCH_CLUSTER,D,3,44.695,44.35,44.408,43.25,2.607,24.72,0.92,25,-0.13,2,0,1,FORMING_NOW,True,False,True
VRTX,WATCH_CLUSTER,D,3,557.045,551.61,546.17,534.971,2.05,24.39,0.24,10,1.0,2,0,1,FORMING_NOW,False,False,True
PCVX,WATCH_CLUSTER,D,3,60.97,59.89,61.77,60.098,2.707,23.33,6.2,10,-3.04,0,1,2,BOTH,True,True,False
PR,WATCH_CLUSTER,D,3,23.735,23.665,23.17,22.697,2.04,17.03,1.47,9,2.14,2,0,1,FORMING_NOW,False,False,True
TK,WATCH_CLUSTER,D,3,13.37,13.22,13.0,12.697,2.328,15.57,2.41,10,1.69,2,1,0,NONE,False,False,True
INTU,WATCH_CLUSTER,D,3,347.25,346.58,338.09,344.859,2.002,13.79,50.2,14,2.51,2,0,1,PRE_BREAKOUT,False,False,True
COP,WATCH_CLUSTER,D,3,135.785,135.61,132.38,129.694,2.029,12.94,1.15,9,2.44,2,0,1,FORMING_NOW,False,False,True
NMAX,WATCH_CLUSTER,D,3,10.965,10.77,10.0,10.245,2.451,12.87,23.21,13,7.7,2,0,1,FORMING_NOW,False,False,True
FLR,WATCH_CLUSTER,D,3,57.185,56.08,54.79,53.617,2.142,11.73,1.29,18,2.35,2,0,1,FORMING_NOW,False,False,True
GIB,WATCH_CLUSTER,D,3,74.54,73.7,72.671,73.644,1.338,9.02,23.14,25,1.42,2,0,1,FORMING_NOW,False,True,True
ADBE,WATCH_CLUSTER,D,3,285.865,283.843,279.0,273.733,1.888,8.91,22.92,4,1.74,2,0,1,PRE_BREAKOUT,False,False,True
BLK,WATCH_CLUSTER,D,3,1123.18,1112.065,1162.64,1139.685,1.974,8.75,6.44,14,-4.35,0,1,2,BOTH,True,True,False
DMC,WATCH_CLUSTER,D,3,31.66,31.39,31.65,31.167,1.526,7.15,25.43,7,-0.82,1,0,2,BOTH,True,False,True
CNQ,WATCH_CLUSTER,D,3,51.265,51.245,50.45,49.404,2.072,7.0,1.56,9,1.58,2,0,1,FORMING_NOW,False,False,True
XPRO,WATCH_CLUSTER,D,3,17.955,17.85,17.85,17.76,0.503,6.52,6.63,16,0.0,2,1,0,NONE,True,False,True
NSC,WATCH_CLUSTER,D,3,329.935,325.06,341.18,340.071,0.325,6.12,7.63,29,-4.72,0,1,2,BOTH,True,True,False
RELX,WATCH_CLUSTER,D,3,36.49,36.29,35.789,35.568,0.615,5.01,22.53,26,1.4,2,0,1,PRE_BREAKOUT,False,False,True
PFS,WATCH_CLUSTER,D,3,23.61,23.52,24.324,23.73,2.444,5.0,6.48,24,-3.31,0,1,2,PRE_BREAKOUT,True,True,False
CSX,WATCH_CLUSTER,D,3,49.18,48.31,51.15,50.24,1.779,4.96,8.0,29,-5.55,0,1,2,PRE_BREAKOUT,True,True,False
PEGA,WATCH_CLUSTER,D,3,37.53,37.395,34.56,34.523,0.107,4.57,44.63,4,8.2,2,0,1,PRE_BREAKOUT,False,False,True
CHRD,WATCH_CLUSTER,D,3,147.45,146.8,144.25,143.003,0.865,4.49,3.63,10,1.77,2,1,0,NONE,False,False,True
FLNG,WATCH_CLUSTER,D,3,31.06,30.721,31.69,31.244,1.408,3.19,6.61,10,-3.06,0,1,2,BOTH,True,True,False
FAST,WATCH_CLUSTER,D,3,49.155,47.83,50.91,49.835,2.112,3.09,7.11,18,-6.05,0,1,2,BOTH,True,True,False
OXY,WATCH_CLUSTER,D,3,60.74,60.68,60.83,59.183,2.708,2.3,9.53,9,-0.25,2,0,1,FORMING_NOW,True,False,False
MDLZ,WATCH_CLUSTER,D,3,61.485,60.98,63.815,62.499,2.063,-0.05,7.75,25,-4.44,0,1,2,BOTH,True,True,False
IMAX,WATCH_CLUSTER,D,2,51.86,51.735,52.62,51.122,2.848,30.93,6.68,14,-1.68,0,1,1,PRE_BREAKOUT,True,False,False
GDRX,WATCH_CLUSTER,D,2,3.535,3.46,3.405,3.488,2.424,22.33,39.16,19,1.62,2,0,0,NONE,False,True,True
JLL,WATCH_CLUSTER,D,2,365.96,355.92,376.85,367.882,2.38,20.68,7.08,10,-5.55,0,1,1,PRE_BREAKOUT,True,True,False
TXRH,WATCH_CLUSTER,D,2,191.18,187.07,204.712,198.917,2.831,17.27,11.27,25,-8.62,0,0,2,BOTH,True,True,False
ERIE,WATCH_CLUSTER,D,2,257.92,256.86,262.7,255.725,2.655,16.46,22.92,10,-2.22,0,0,2,BOTH,True,False,False
SEPN,WATCH_CLUSTER,D,2,36.94,36.46,40.65,39.456,2.937,16.05,27.71,16,-10.31,0,0,2,BOTH,True,True,False
DEO,WATCH_CLUSTER,D,2,90.62,89.64,94.21,91.872,2.482,13.09,15.52,18,-4.85,0,0,2,FORMING_NOW,True,True,False
MDT,WATCH_CLUSTER,D,2,92.63,90.965,93.09,90.676,2.593,12.37,10.73,10,-2.28,0,0,2,BOTH,True,False,False
MNDY,WATCH_CLUSTER,D,2,97.77,94.82,95.46,93.154,2.416,10.27,55.72,4,-0.67,1,0,1,FORMING_NOW,True,False,True
CVE,WATCH_CLUSTER,D,2,32.755,32.735,32.16,31.488,2.091,8.86,1.93,11,1.79,2,0,0,NONE,False,False,True
NPK,WATCH_CLUSTER,D,2,144.61,142.55,148.28,145.343,1.98,8.65,8.57,9,-3.86,0,0,2,BOTH,True,True,False
VET,WATCH_CLUSTER,D,2,13.03,12.9,12.26,12.286,0.216,8.01,11.31,10,5.22,2,0,0,NONE,False,False,True
HL-PB,WATCH_CLUSTER,D,2,72.99,72.99,74.0,72.048,2.637,7.67,31.63,9,-1.36,0,0,2,FORMING_NOW,True,False,False
LQDT,WATCH_CLUSTER,D,2,40.305,39.42,41.28,41.247,0.08,7.4,8.58,19,-4.51,0,0,2,PRE_BREAKOUT,True,True,False
DIS,WATCH_CLUSTER,D,2,107.47,107.31,108.69,106.071,2.41,7.3,8.98,7,-1.27,0,0,2,BOTH,True,False,False
MTDR,WATCH_CLUSTER,D,2,59.38,58.88,55.97,56.062,0.164,5.62,9.87,11,5.2,2,0,0,NONE,False,False,True
CUBI,WATCH_CLUSTER,D,2,79.495,78.85,81.44,79.316,2.608,4.38,5.79,21,-3.18,0,1,1,PRE_BREAKOUT,True,True,False
ITT,WATCH_CLUSTER,D,2,204.385,199.165,206.59,205.326,0.612,4.26,11.26,19,-3.59,0,0,2,BOTH,True,True,False
TTC,WATCH_CLUSTER,D,2,93.26,91.21,98.08,97.625,0.464,3.74,10.57,21,-7.0,0,0,2,BOTH,True,True,False
PKG,WATCH_CLUSTER,D,2,235.285,230.046,243.5,243.212,0.118,3.7,9.5,28,-5.53,0,0,2,PRE_BREAKOUT,True,True,False
VTOL,WATCH_CLUSTER,D,2,43.76,43.437,46.375,45.247,2.432,2.54,12.65,21,-6.34,0,0,2,PRE_BREAKOUT,True,True,False
AME,WATCH_CLUSTER,D,2,234.35,230.61,244.97,241.016,1.614,0.89,10.27,21,-5.86,0,0,2,PRE_BREAKOUT,True,True,False
QTWO,WATCH_CLUSTER,D,1,64.185,63.64,65.0,63.443,2.395,41.4,24.66,14,-2.09,0,0,1,PRE_BREAKOUT,True,False,False
MHK,WATCH_CLUSTER,D,1,132.04,130.75,133.35,130.412,2.203,23.8,7.75,21,-1.95,0,1,0,NONE,True,False,False
AGM,WATCH_CLUSTER,D,1,225.965,221.43,228.38,222.989,2.361,23.47,8.99,22,-3.04,0,0,1,PRE_BREAKOUT,True,True,False
AORT,WATCH_CLUSTER,D,1,25.9,25.45,26.38,26.976,2.26,22.57,46.32,26,-3.53,0,0,1,PRE_BREAKOUT,True,True,False
DNOW,WATCH_CLUSTER,D,1,15.755,15.605,16.11,15.685,2.636,14.99,8.72,18,-3.13,0,0,1,FORMING_NOW,True,True,False
OMC,WATCH_CLUSTER,D,1,84.33,81.97,87.41,85.622,2.045,10.99,5.85,14,-6.22,0,1,0,NONE,True,True,False
STVN,WATCH_CLUSTER,D,1,20.62,20.401,21.8,21.201,2.747,10.09,26.09,9,-6.42,0,0,1,PRE_BREAKOUT,True,True,False
MMM,WATCH_CLUSTER,D,1,168.81,165.8,178.509,175.089,1.916,9.27,8.3,26,-7.12,0,0,1,FORMING_NOW,True,True,False
PH,WATCH_CLUSTER,D,1,964.27,933.74,1007.83,997.344,1.04,9.07,12.16,19,-7.35,0,0,1,PRE_BREAKOUT,True,True,False
FHI,WATCH_CLUSTER,D,1,61.92,60.835,63.606,62.944,1.04,7.71,7.3,21,-4.36,0,1,0,NONE,True,True,False
GEHC,WATCH_CLUSTER,D,1,69.61,68.5,72.04,71.4,0.888,7.44,22.34,17,-4.91,0,0,1,FORMING_NOW,True,True,False
ITW,WATCH_CLUSTER,D,1,271.8,267.81,287.94,280.34,2.639,7.18,9.98,26,-6.99,0,0,1,PRE_BREAKOUT,True,True,False
DAR,WATCH_CLUSTER,D,1,65.38,64.81,65.78,64.526,1.906,5.97,6.57,13,-1.47,0,1,0,NONE,True,False,False
CLX,WATCH_CLUSTER,D,1,95.01,93.242,100.199,101.004,0.803,5.53,24.49,21,-6.94,0,0,1,PRE_BREAKOUT,True,True,False
JBS,WATCH_CLUSTER,D,1,13.085,12.915,13.61,13.489,0.891,5.46,24.22,26,-5.11,0,0,1,FORMING_NOW,True,True,False
AOS,WATCH_CLUSTER,D,1,60.73,59.69,62.67,61.145,2.434,5.46,24.95,26,-4.76,0,0,1,PRE_BREAKOUT,True,True,False
GGG,WATCH_CLUSTER,D,1,78.515,76.98,80.65,79.474,1.459,4.37,17.34,26,-4.55,0,0,1,PRE_BREAKOUT,True,True,False
TSLX,WATCH_CLUSTER,D,1,18.235,17.98,18.8,18.49,1.651,4.12,19.37,18,-4.36,0,0,1,FORMING_NOW,True,True,False
LDOS,WATCH_CLUSTER,D,1,131.29,131.21,135.5,135.611,0.082,4.06,35.67,18,-3.17,0,0,1,FORMING_NOW,True,True,False
OTF,WATCH_CLUSTER,D,1,11.415,11.24,11.44,11.21,2.013,1.48,18.12,18,-1.75,0,0,1,FORMING_NOW,True,False,False
DGII,WATCH_CLUSTER,D,1,69.56,67.45,76.41,74.663,2.286,-1.26,19.9,19,-11.73,0,0,1,PRE_BREAKOUT,True,True,False
CNR,WATCH_CLUSTER,D,1,97.645,97.19,98.273,96.033,2.279,-2.89,14.77,4,-1.1,0,0,1,PRE_BREAKOUT,True,False,False
ENVA,WATCH_CLUSTER,D,0,234.3,227.085,246.38,239.91,2.626,37.87,12.39,27,-7.83,0,0,0,NONE,True,True,False
RYAN,WATCH_CLUSTER,D,0,41.995,41.855,43.596,42.722,2.006,30.71,28.14,26,-3.99,0,0,0,NONE,True,True,False
VCTR,WATCH_CLUSTER,D,0,112.92,110.99,116.28,113.358,2.513,26.21,8.6,14,-4.55,0,0,0,NONE,True,True,False
VAC,WATCH_CLUSTER,D,0,99.81,98.21,105.97,108.229,2.132,13.19,24.01,19,-7.32,0,0,0,NONE,True,True,False
CG,WATCH_CLUSTER,D,0,47.58,46.965,48.9,48.032,1.776,8.38,29.98,21,-3.96,0,0,0,NONE,True,True,False
BF-B,WATCH_CLUSTER,D,0,27.49,26.985,28.07,27.583,1.735,7.21,11.64,26,-3.87,0,0,0,NONE,True,True,False
BF-A,WATCH_CLUSTER,D,0,27.935,27.6,28.62,28.136,1.693,5.42,9.52,26,-3.56,0,0,0,NONE,True,True,False
WAB,WATCH_CLUSTER,D,0,279.86,274.83,297.843,289.842,2.686,5.01,8.64,28,-7.73,0,0,0,NONE,True,True,False
CVSA,WATCH_CLUSTER,D,0,129.66,127.115,135.96,132.086,2.849,2.48,17.02,18,-6.51,0,0,0,NONE,True,True,False
GPK,WATCH_CLUSTER,D,0,10.71,10.455,11.491,11.273,1.896,-0.01,49.5,26,-9.01,0,0,0,NONE,True,True,False
