symbol,status,grade,quality_score,current_price,day_low,breakout_level,ema20_live,ema20_breakout_distance_pct,rs_vs_spy_pct,pct_below_52w_high,breakout_age_days,undercut_vs_breakout_pct,shallow_bonus,headroom_bonus,congestion_score,congestion_status,touched_breakout_today,touched_ema20_today,above_both_now,entry_marker,double_reclaim,reclaim_breakout,reclaim_breakout_only,candle_pattern,candle_side,high_conviction_score,high_conviction_entry,high_conviction_reasons
VOR,READY_NOW,B,5,24.74,22.67,23.07,22.839,1.0,83.53,50.47,18,-1.73,0,0,1,PRE_BREAKOUT,True,True,True,False,True,True,False,STRONG_BULL_CANDLE,BULL,9,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS20+|GRADE_B|BULL_CANDLE
RVMD,READY_NOW,B,5,210.2,205.22,208.761,207.053,0.818,34.2,6.29,11,-1.7,0,1,0,NONE,True,True,True,False,True,True,False,HAMMER_BEAR_BODY,BULL,9,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS20+|GRADE_B|BULL_CANDLE
JBS,READY_NOW,B,5,13.69,13.53,13.61,13.546,0.474,14.69,20.71,25,-0.59,1,0,0,NONE,True,True,True,False,True,True,False,BULL_CANDLE,BULL,8,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS10+|GRADE_B|BULL_CANDLE
TMP,READY_NOW,C,6,97.725,95.54,96.439,97.721,1.329,17.31,4.74,27,-0.93,1,1,2,BOTH,True,True,True,False,True,True,False,BULLISH_ENGULFING,BULL,8,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS10+|BULL_CANDLE
JOYY,READY_NOW,C,6,74.65,73.31,73.17,73.998,1.131,13.5,7.73,27,0.19,2,1,1,PRE_BREAKOUT,True,True,True,False,True,True,False,BULLISH_ENGULFING,BULL,7,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS10+|BULL_CANDLE
AVNT,READY_NOW,C,5,44.16,43.17,43.96,43.363,1.358,28.41,5.32,17,-1.8,0,1,2,FORMING_NOW,True,True,True,True,True,True,False,BULL_CANDLE,BULL,8,True,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS20+|BULL_CANDLE
SCSC,READY_NOW,C,5,57.045,55.52,56.02,55.403,1.102,23.81,14.58,25,-0.89,1,0,2,PRE_BREAKOUT,True,True,True,False,True,True,False,BULLISH_ENGULFING,BULL,8,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS20+|BULL_CANDLE
ADMA,READY_NOW,C,5,9.53,9.32,9.33,9.454,1.333,22.26,53.42,18,-0.11,2,0,1,FORMING_NOW,True,True,True,False,True,True,False,BULL_CANDLE,BULL,8,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS20+|BULL_CANDLE
OBK,READY_NOW,C,5,54.02,52.81,53.982,53.271,1.317,16.01,2.34,25,-2.17,0,1,2,BOTH,True,True,True,False,True,True,False,STRONG_BULL_CANDLE,BULL,8,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS10+|BULL_CANDLE
DRI,READY_NOW,C,5,220.74,215.44,219.43,216.574,1.302,11.68,3.93,14,-1.82,0,1,2,BOTH,True,True,True,True,True,True,False,STRONG_BULL_CANDLE,BULL,8,True,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS10+|BULL_CANDLE
OII,READY_NOW,C,4,51.97,50.52,51.48,50.684,1.547,36.25,4.2,27,-1.86,0,1,1,PRE_BREAKOUT,True,True,True,True,True,True,False,BULLISH_ENGULFING,BULL,9,True,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS20+|BULL_CANDLE
NU,READY_NOW,C,4,15.465,14.43,14.845,14.575,1.821,32.31,18.52,12,-2.8,0,0,2,BOTH,True,True,True,False,True,True,False,STRONG_BULL_CANDLE,BULL,8,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS20+|BULL_CANDLE
LYFT,READY_NOW,C,4,17.315,16.71,16.8,17.038,1.418,22.34,32.2,17,-0.54,1,0,1,FORMING_NOW,True,True,True,False,True,True,False,BULL_CANDLE,BULL,8,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS20+|BULL_CANDLE
NBBK,READY_NOW,C,4,22.72,22.11,22.672,22.388,1.254,17.16,2.9,25,-2.48,0,1,1,FORMING_NOW,True,True,True,False,True,True,False,STRONG_BULL_CANDLE,BULL,8,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS10+|BULL_CANDLE
BVS,READY_NOW,C,3,14.44,13.72,14.0,13.826,1.24,68.34,9.14,19,-2.0,0,0,1,FORMING_NOW,True,True,True,False,True,True,False,STRONG_BULL_CANDLE,BULL,8,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS20+|BULL_CANDLE
HNI,READY_NOW,C,3,49.005,47.5,48.617,47.887,1.502,63.03,4.75,17,-2.3,0,1,0,NONE,True,True,True,False,True,True,False,BULL_CANDLE,BULL,9,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS20+|BULL_CANDLE
LILAK,READY_NOW,C,3,8.7,8.315,8.455,8.361,1.11,62.38,1.57,18,-1.66,0,0,1,FORMING_NOW,True,True,True,False,True,True,False,BULL_CANDLE,BULL,9,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS20+|BULL_CANDLE
CHWY,READY_NOW,C,2,23.97,23.21,23.615,23.301,1.329,13.38,44.9,20,-1.72,0,0,0,NONE,True,True,True,False,True,True,False,BULL_CANDLE,BULL,7,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS10+|BULL_CANDLE
BXSL,READY_NOW,D,5,24.77,24.575,24.61,24.535,0.303,9.38,6.45,13,-0.14,2,1,2,BOTH,True,True,True,True,True,True,False,BULL_CANDLE,BULL,6,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|BULL_CANDLE
SAIC,READY_NOW,D,4,127.385,122.7,123.01,125.608,2.113,10.84,10.71,18,-0.25,2,0,2,PRE_BREAKOUT,True,True,True,False,True,True,False,BULLISH_ENGULFING,BULL,7,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS10+|BULL_CANDLE
TTC,READY_NOW,D,4,99.76,97.32,98.08,98.143,0.064,9.62,4.34,20,-0.77,1,1,2,BOTH,True,True,True,True,True,True,False,BULL_CANDLE,BULL,7,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|BULL_CANDLE
A,READY_NOW,D,3,151.06,147.6,150.24,150.473,0.155,9.6,7.75,9,-1.76,0,1,2,BOTH,True,True,True,True,True,True,False,BULL_CANDLE,BULL,6,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|BULL_CANDLE
FLNG,READY_NOW,D,3,31.875,31.35,31.69,31.272,1.318,6.7,4.16,9,-1.07,0,1,2,BOTH,True,True,True,False,True,True,False,STRONG_BULL_CANDLE,BULL,7,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|BULL_CANDLE
ETV,READY_NOW,D,3,15.321,15.15,15.3,15.13,1.113,4.26,1.09,2,-0.98,1,0,2,PRE_BREAKOUT,True,True,True,False,True,True,False,BULLISH_ENGULFING,BULL,7,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|BULL_CANDLE
UMH,RECLAIM_PENDING,B,9,16.165,16.09,16.136,16.185,0.304,10.11,3.61,13,-0.29,2,1,2,BOTH,True,True,False,False,False,True,True,STRONG_BEAR_CANDLE,BEAR,6,False,RECLAIM_BREAKOUT|RS10+|GRADE_B
GEF-B,RECLAIM_PENDING,B,8,107.26,106.257,106.67,107.489,0.768,38.59,5.9,24,-0.39,2,1,1,FORMING_NOW,True,True,False,False,False,True,True,BULL_CANDLE,BULL,7,False,RECLAIM_BREAKOUT|RS20+|GRADE_B|BULL_CANDLE
STE,RECLAIM_PENDING,B,5,231.86,225.545,230.65,232.621,0.855,10.09,13.47,24,-2.21,0,0,1,PRE_BREAKOUT,True,True,False,False,False,True,True,BULL_CANDLE,BULL,5,False,RECLAIM_BREAKOUT|RS10+|GRADE_B|BULL_CANDLE
RJF,RECLAIM_PENDING,C,7,176.1,173.5,174.0,176.244,1.29,20.03,3.63,25,-0.29,2,1,2,BOTH,True,True,False,False,False,True,True,BULL_CANDLE,BULL,6,False,RECLAIM_BREAKOUT|RS20+|BULL_CANDLE
GABC,RECLAIM_PENDING,C,6,49.73,48.637,49.087,49.746,1.343,16.69,4.2,25,-0.92,1,1,2,BOTH,True,True,False,False,False,True,True,BULL_CANDLE,BULL,5,False,RECLAIM_BREAKOUT|RS10+|BULL_CANDLE
FTDR,RECLAIM_PENDING,C,4,81.37,79.69,80.73,81.597,1.074,30.52,12.91,18,-1.29,0,0,2,BOTH,True,True,False,False,False,True,True,STRONG_BULL_CANDLE,BULL,5,False,RECLAIM_BREAKOUT|RS20+|BULL_CANDLE
CHE,RECLAIM_PENDING,C,4,524.345,509.01,519.327,528.505,1.767,22.45,5.74,24,-1.99,0,1,1,PRE_BREAKOUT,True,True,False,False,False,True,True,BULL_CANDLE,BULL,5,False,RECLAIM_BREAKOUT|RS20+|BULL_CANDLE
NDSN,RECLAIM_PENDING,D,6,317.57,314.14,315.68,318.108,0.769,9.48,6.35,8,-0.49,2,1,3,BOTH,True,True,False,False,False,True,True,BULL_CANDLE,BULL,3,False,RECLAIM_BREAKOUT|BULL_CANDLE
CSWC,RECLAIM_PENDING,D,5,24.85,24.71,24.69,24.871,0.733,9.59,3.5,17,0.08,2,1,2,BOTH,True,True,False,False,False,True,True,BEAR_CANDLE,BEAR,3,False,RECLAIM_BREAKOUT
HCM,RECLAIM_PENDING,D,4,12.03,11.95,11.93,12.138,1.747,5.82,34.26,17,0.17,2,0,2,BOTH,True,True,False,False,False,True,True,BULL_CANDLE,BULL,3,False,RECLAIM_BREAKOUT|BULL_CANDLE
CNK,RECLAIM_PENDING,D,1,35.42,35.11,35.415,36.166,2.121,18.84,8.91,23,-0.86,1,0,0,NONE,True,True,False,False,False,True,True,SHOOTING_STAR_BULL_BODY,BULL,4,False,RECLAIM_BREAKOUT|RS10+|BULL_CANDLE
V,WATCH_CLUSTER,A,11,378.84,374.01,373.277,372.196,0.289,20.94,1.75,6,0.2,2,0,3,BOTH,True,False,True,False,False,True,True,BULL_CANDLE,BULL,9,False,RECLAIM_BREAKOUT|RS20+|GRADE_A|BULL_CANDLE
MA,WATCH_CLUSTER,B,10,589.005,583.695,583.71,579.455,0.729,24.57,2.03,6,-0.0,2,1,3,BOTH,True,False,True,True,False,True,False,BULL_CANDLE,BULL,8,True,RECLAIM_BREAKOUT|RS20+|GRADE_B|BULL_CANDLE
HSBC,WATCH_CLUSTER,B,10,104.52,103.88,103.829,103.29,0.519,11.61,2.68,23,0.05,2,1,3,BOTH,True,False,True,False,False,True,True,BULL_CANDLE,BULL,7,False,RECLAIM_BREAKOUT|RS10+|GRADE_B|BULL_CANDLE
GLIBK,WATCH_CLUSTER,B,8,26.195,25.75,25.74,25.489,0.973,26.92,36.38,13,0.04,2,0,2,FORMING_NOW,True,False,True,False,False,True,True,BULLISH_ENGULFING,BULL,7,False,RECLAIM_BREAKOUT|RS20+|GRADE_B|BULL_CANDLE
TSCO,WATCH_CLUSTER,B,8,34.845,34.59,34.631,34.422,0.603,19.85,42.69,15,-0.12,2,0,2,FORMING_NOW,True,False,True,False,False,True,True,BULLISH_ENGULFING,BULL,6,False,RECLAIM_BREAKOUT|RS10+|GRADE_B|BULL_CANDLE
PBT,WATCH_CLUSTER,C,7,33.85,33.51,33.581,33.119,1.377,16.9,4.59,19,-0.21,2,1,2,BOTH,True,False,True,False,False,True,True,DOJI,NEUTRAL,4,False,RECLAIM_BREAKOUT|RS10+
CQP,WATCH_CLUSTER,C,7,71.185,69.465,69.5,68.131,1.97,15.63,-0.32,1,-0.05,2,0,3,BOTH,True,False,True,False,False,True,True,BULL_CANDLE,BULL,5,False,RECLAIM_BREAKOUT|RS10+|BULL_CANDLE
PAG,WATCH_CLUSTER,C,6,218.7,217.29,218.68,216.017,1.218,27.53,3.02,24,-0.64,1,1,2,BOTH,True,False,True,False,False,True,True,SHOOTING_STAR_BULL_BODY,BULL,6,False,RECLAIM_BREAKOUT|RS20+|BULL_CANDLE
DXCM,WATCH_CLUSTER,C,6,89.8,89.543,89.56,88.19,1.53,22.85,3.01,14,-0.02,2,1,1,FORMING_NOW,True,False,True,False,False,True,True,SHOOTING_STAR,BEAR,5,False,RECLAIM_BREAKOUT|RS20+
CPAY,WATCH_CLUSTER,C,6,415.91,407.71,412.24,404.57,1.86,17.52,2.36,13,-1.1,0,1,3,BOTH,True,False,True,False,False,True,True,BULL_CANDLE,BULL,5,False,RECLAIM_BREAKOUT|RS10+|BULL_CANDLE
BNS,WATCH_CLUSTER,C,6,92.92,91.45,92.04,90.414,1.767,16.3,2.15,5,-0.64,1,1,2,BOTH,True,False,True,True,False,True,False,STRONG_BULL_CANDLE,BULL,5,False,RECLAIM_BREAKOUT|RS10+|BULL_CANDLE
GSBD,WATCH_CLUSTER,C,6,9.985,9.83,9.97,9.803,1.674,15.81,3.76,5,-1.41,0,1,3,BOTH,True,False,True,False,False,True,True,BEAR_CANDLE,BEAR,4,False,RECLAIM_BREAKOUT|RS10+
FUTU,WATCH_CLUSTER,C,5,118.57,117.47,117.81,115.682,1.806,22.68,40.52,7,-0.29,2,0,1,PRE_BREAKOUT,True,False,True,False,False,True,True,BEAR_CANDLE,BEAR,4,False,RECLAIM_BREAKOUT|RS20+
