market,rule,N,mean_5d,win_5d,mean_10d,win_10d,maxdd_10d
CA,REV_HIGH+EMA20,234,0.004164238024079898,0.5726495726495726,0.011419979147157725,0.6153846153846154,-0.034955363250198754
CA,REV_HIGH,372,0.003349626491375801,0.5698924731182796,0.00943525884743979,0.6102150537634409,-0.039026539333887784
CA,PREV5_HIGH,92,0.0023499358249204857,0.532608695652174,0.01135137414595246,0.5760869565217391,-0.03446053945065411
CA,BOTH_HIGHS,91,0.0021056670483692087,0.5274725274725275,0.011138482091649173,0.5714285714285714,-0.03486248105806985
CA,BOTH_HIGHS+EMA20,87,0.0002966519065587377,0.5057471264367817,0.007251422775593573,0.5517241379310345,-0.03539311162005528
HK,REV_HIGH+EMA20,174,0.00740947615961792,0.5862068965517241,0.008337340644546007,0.5114942528735632,-0.0504065019385545
HK,REV_HIGH,314,0.0062437796557146,0.535031847133758,0.005827933972839445,0.5031847133757962,-0.051894790618231164
HK,PREV5_HIGH,69,0.004469060065261914,0.5217391304347826,0.008941145125362388,0.463768115942029,-0.04723473991753444
HK,BOTH_HIGHS,68,0.004386737359549699,0.5147058823529411,0.00979641117024348,0.47058823529411764,-0.047205589829166526
HK,BOTH_HIGHS+EMA20,68,0.004042834208714794,0.5147058823529411,0.008773836330095153,0.47058823529411764,-0.046754500855211274
US,REV_HIGH+EMA20,863,0.0032118656423934942,0.5399768250289687,0.006619868639171238,0.5550405561993047,-0.049064998804967966
US,BOTH_HIGHS+EMA20,296,0.00297305772442972,0.5067567567567568,0.010916477966254187,0.5844594594594594,-0.04473518862465367
US,PREV5_HIGH,320,0.002959005170151816,0.515625,0.010577707121254297,0.575,-0.04473972110004881
US,BOTH_HIGHS,318,0.0025863225863732558,0.5125786163522013,0.0104519866427795,0.5754716981132075,-0.04498282008229678
US,REV_HIGH,1543,-0.0015440992467888658,0.5191186001296176,0.002934138738857792,0.5398574206092028,-0.05495161999648291
