rule,N,avg_delay,mean_3d,win_3d,median_3d,maxup_3d,maxdd_3d,mean_5d,win_5d,median_5d,maxup_5d,maxdd_5d,mean_10d,win_10d,median_10d,maxup_10d,maxdd_10d
REV_HIGH+EMA20,1271,1.7639653815892997,0.001129884093890348,0.5322834645669291,0.0025895476068081846,0.02483322095316256,-0.023678724685439252,0.0039595702042332075,0.5536277602523659,0.004496629084649095,0.03560807026573886,-0.031470441325474136,0.007737112842242023,0.5619573796369376,0.0073389048737961815,0.05387464365249266,-0.04665342418606445
PREV5_HIGH,481,2.079002079002079,0.0017484280232049538,0.5218295218295218,0.0018615755399797873,0.025416734456711023,-0.023836351817617313,0.0030591286795100584,0.5197505197505198,0.0038272234983420805,0.03458588438563069,-0.03207749234609937,0.01049091832407278,0.5592515592515592,0.0082134536370575,0.05376398999688879,-0.04313155392055234
BOTH_HIGHS,477,2.10062893081761,0.0016412031782160293,0.5178197064989518,0.0016798171751342128,0.025359167091031816,-0.024068189795989403,0.002751288101294912,0.5157232704402516,0.002822829401149196,0.0344912360746461,-0.03234939580690214,0.010489495979707572,0.559748427672956,0.00821746257588396,0.05386127979029909,-0.04336897834557244
BOTH_HIGHS+EMA20,451,2.130820399113082,0.0019001036052039518,0.5210643015521065,0.0019662008744576465,0.025678249717627815,-0.023864301753398477,0.0026180632560851734,0.5077605321507761,0.002098935972919991,0.034456472224250086,-0.032394892725199284,0.009886412704954215,0.5609756097560976,0.0077393926083919595,0.0533680516597804,-0.043237522399105686
REV_HIGH,2229,1.4957379991027366,-0.00010673160477191078,0.5067324955116697,0.0004971062387314484,0.026638981059424943,-0.026233670639904658,0.0003647993442363918,0.5310251798561151,0.003130052497420821,0.03591056512759218,-0.03554510349549757,0.004426610451278412,0.5484016208914904,0.006399672209457696,0.05452357027323261,-0.05186204967147737
