symbol,market,status,delay,entry_price,stop,risk_pct,target_1R,target_2R,both_highs,us_high_quality,reversal_date,reversal_close,reversal_high,reversal_low,prev5_high,clv,body_frac,vol_ratio20,vol_expand,ema20_reclaim_on_day1,prev5_high_reclaim_on_day1,score
CECO,US,CONFIRMED_ENTRY,2,79.12999725341797,68.83999633789062,0.13003919212297047,89.41999816894531,99.70999908447266,True,True,2026-09-03,74.3499984741211,74.4000015258789,68.83999633789062,73.38999938964844,0.9910066537589141,0.45503532708254146,0.9074207110975021,False,True,True,7
HPE,US,CONFIRMED_ENTRY,2,56.029998779296875,45.70000076293945,0.184365487085721,66.3599967956543,76.68999481201172,True,True,2026-09-03,54.439998626708984,54.880001068115234,45.70000076293945,55.78499984741211,0.9520694524205874,0.7450980310677578,3.5060196813350024,True,True,False,7
KNTK,US,CONFIRMED_ENTRY,1,54.97999954223633,53.29999923706055,0.03055657182909185,56.65999984741211,58.34000015258789,False,False,2026-09-04,54.43000030517578,54.65999984741211,53.29999923706055,55.95000076293945,0.8308827654298825,0.5661765530859765,0.7234883546393815,False,True,False,6
UTG,US,CONFIRMED_ENTRY,3,38.880001068115234,37.290000915527344,0.04089506452950744,40.470001220703125,42.060001373291016,False,False,2026-09-02,37.709999084472656,37.720001220703125,37.290000915527344,38.95000076293945,0.9767392345771012,0.4883696172885506,1.1492088186526377,True,False,False,6
NEOG,US,CONFIRMED_ENTRY,1,11.885000228881836,11.369999885559082,0.04333195905804422,12.40000057220459,12.915000915527344,False,False,2026-09-04,11.829999923706055,11.850000381469727,11.369999885559082,12.039999961853027,0.9583324227077568,0.7499985098854202,0.808020062952632,False,True,False,6
TIC,US,CONFIRMED_ENTRY,1,9.5600004196167,9.100000381469727,0.048117156689980144,10.020000457763672,10.480000495910645,False,False,2026-09-04,9.359999656677246,9.420000076293945,9.100000381469727,9.989999771118164,0.8124985098824595,0.6562507450587702,0.3997480220800991,False,True,False,6
ESI,US,CONFIRMED_ENTRY,2,36.209999084472656,33.4900016784668,0.07511730115376422,38.929996490478516,41.649993896484375,False,False,2026-09-03,34.97999954223633,35.029998779296875,33.4900016784668,37.41559040439286,0.9675329018258563,0.44805189979712706,1.1190561439177902,True,False,False,6
FLEX,US,CONFIRMED_ENTRY,2,114.30999755859375,102.25,0.10550256159713378,126.3699951171875,138.42999267578125,False,False,2026-09-03,107.88999938964844,108.26000213623047,102.25,116.16999816894531,0.9384355049806853,0.3993345545438043,1.2990382985934588,True,False,False,6
NTAP,US,CONFIRMED_ENTRY,2,189.1300048828125,161.0,0.14873369722716515,217.260009765625,245.3900146484375,False,False,2026-09-03,185.3800048828125,187.4499969482422,161.0,193.85000610351562,0.9217394213889596,0.8858227084267177,2.4306251828733054,True,False,False,6
APLD,US,CONFIRMED_ENTRY,3,28.309999465942383,23.829999923706055,0.15824795573118525,32.78999900817871,37.26999855041504,False,False,2026-09-02,24.90999984741211,24.9950008392334,23.829999923706055,28.700000762939453,0.9270378325987727,0.7768240132548346,1.1039548972143955,True,False,False,6
SLSR,US,CONFIRMED_ENTRY,1,8.420000076293945,8.020000457763672,0.04750589250663438,8.819999694824219,9.219999313354492,False,False,2026-09-04,8.140000343322754,8.170000076293945,8.020000457763672,8.949999809265137,0.8000012715689889,0.6666709052299633,0.7701715325033711,False,False,False,5
TAC,US,CONFIRMED_ENTRY,3,12.40999984741211,11.65999984741211,0.06043513370037627,13.15999984741211,13.90999984741211,False,False,2026-09-02,11.84000015258789,11.899999618530273,11.65999984741211,12.696216052043454,0.7500019868233873,0.41666865349005394,0.6531439829704907,False,False,False,5
CAT,US,CONFIRMED_ENTRY,3,822.47998046875,771.3900146484375,0.06211697188203313,873.5699462890625,924.659912109375,False,False,2026-09-02,792.280029296875,793.9400024414062,771.3900146484375,832.989990234375,0.9263869603934402,0.6106442122129925,1.012282135900774,False,False,False,5
FSLR,US,CONFIRMED_ENTRY,3,213.25,197.80999755859375,0.07240329398080304,228.69000244140625,244.1300048828125,True,True,2026-09-02,202.60000610351562,204.35000610351562,197.80999755859375,213.1999969482422,0.7324162517556917,0.4969412467394297,0.8022319264744421,False,False,False,5
ETN,US,CONFIRMED_ENTRY,2,422.1300048828125,384.7699890136719,0.08850357813231527,459.4900207519531,496.85003662109375,False,False,2026-09-03,397.1199951171875,397.8699951171875,384.7699890136719,427.9599914550781,0.9427481182776912,0.5412208423313555,0.8655872225071434,False,False,False,5
KOPN,US,CONFIRMED_ENTRY,3,4.559999942779541,4.139999866485596,0.09210528104479206,4.980000019073486,5.400000095367432,False,False,2026-09-02,4.289999961853027,4.340000152587891,4.139999866485596,5.010000228881836,0.7499994039544049,0.4999988079088098,0.8086055500309586,False,False,False,5
CMPS,US,CONFIRMED_ENTRY,2,14.039999961853027,12.725000381469727,0.0936609390282181,15.354999542236328,16.66999912261963,False,False,2026-09-03,13.289999961853027,13.300000190734863,12.725000381469727,14.930000305175781,0.9826082918277548,0.45217446109090426,0.7990019031138088,False,False,False,5
ENTG,US,CONFIRMED_ENTRY,2,141.08999633789062,125.77999877929688,0.10851228262795093,156.39999389648438,171.70999145507812,False,False,2026-09-03,130.6999969482422,131.1199951171875,125.77999877929688,147.1199951171875,0.9213486035626726,0.3951314714168967,0.704973956068381,False,False,False,5
