symbol,market,status,delay,entry_price,stop,risk_pct,us_high_quality,reversal_date,reversal_close,reversal_high,reversal_low,prev5_high,clv,body_frac,vol_ratio20,vol_expand,ema20_reclaim_on_day1,prev5_high_reclaim_on_day1,score,target_1R,target_2R,both_highs
VOYA,US,WATCH,0,,98.56999969482422,,False,2026-09-18,101.56999969482422,102.19999694824219,98.56999969482422,104.19000244140625,0.8264469063097032,0.49586898449108957,4.134455375542124,True,True,False,7,,,
STBA,US,WATCH,0,,48.939998626708984,,False,2026-09-18,50.16999816894531,50.20000076293945,48.939998626708984,51.0,0.9761884578355565,0.6984093344878324,4.655400867623836,True,True,False,7,,,
UFCS,US,WATCH,0,,52.31999969482422,,False,2026-09-18,54.38999938964844,54.59000015258789,52.31999969482422,56.7400016784668,0.9118939547983672,0.38325936407160877,2.6792170924846856,True,True,False,7,,,
NBBK,US,WATCH,0,,22.309999465942383,,False,2026-09-18,22.780000686645508,22.799999237060547,22.309999465942383,23.25,0.9591866127418733,0.44898229278982954,1.9162716647971922,True,True,False,7,,,
RTX,US,WATCH,0,,191.17999267578125,,False,2026-09-18,194.0,194.0,191.17999267578125,200.3800048828125,1.0,0.35460900807306883,2.452700747408021,True,False,False,6,,,
TMUS,US,WATCH,0,,164.02000427246094,,False,2026-09-18,168.17999267578125,169.49000549316406,164.02000427246094,185.5800018310547,0.7605095932292277,0.6252280449227576,2.841106460836784,True,False,False,6,,,
COF,US,WATCH,0,,200.27999877929688,,False,2026-09-18,202.42999267578125,202.97000122070312,200.27999877929688,211.2899932861328,0.7992535112200213,0.4200701109522837,2.355349277239128,True,False,False,6,,,
MFG,US,WATCH,0,,10.729999542236328,,False,2026-09-18,10.9399995803833,10.949999809265137,10.729999542236328,11.489999771118164,0.9545444693459103,0.6363600896452769,0.8811075571374747,False,True,False,6,,,
BMY,US,WATCH,0,,62.189998626708984,,False,2026-09-18,63.060001373291016,63.06999969482422,62.189998626708984,65.29000091552734,0.988638284775475,0.39772939090629295,4.029505963825929,True,False,False,6,,,
BNY,US,WATCH,0,,151.77999877929688,,False,2026-09-18,153.7899932861328,153.89999389648438,151.77999877929688,165.22999572753906,0.9481128001381931,0.721699199631485,2.5323846996891786,True,False,False,6,,,
SHW,US,WATCH,0,,314.3800048828125,,False,2026-09-18,320.7300109863281,321.3900146484375,314.3800048828125,328.44000244140625,0.9058483961968447,0.38231376031762615,1.7718341018406891,True,False,False,6,,,
ICE,US,WATCH,0,,152.0800018310547,,False,2026-09-18,155.47000122070312,156.0500030517578,152.0800018310547,159.99797347338838,0.853903865814942,0.7556672739432235,1.3278671051594995,True,False,False,6,,,
MCO,US,WATCH,0,,456.9700012207031,,False,2026-09-18,468.5899963378906,470.989990234375,456.9700012207031,485.8399963378906,0.8288162783762546,0.6126963672734634,2.00669801909648,True,False,False,6,,,
SE,US,WATCH,0,,99.54000091552734,,False,2026-09-18,101.79000091552734,102.53500366210938,99.54000091552734,110.22000122070312,0.7512513978719231,0.4808017097979677,1.1877657843576257,True,False,False,6,,,
HEI,US,WATCH,0,,293.57000732421875,,False,2026-09-18,298.2200012207031,298.4200134277344,293.57000732421875,317.1700134277344,0.9587604215825075,0.6659808085574956,1.3676644256609107,True,False,False,6,,,
KB,US,WATCH,0,,125.31999969482422,,False,2026-09-18,126.93000030517578,127.16000366210938,125.31999969482422,133.2899932861328,0.8749984450995758,0.5217375079299922,1.008591946652988,False,True,False,6,,,
YUM,US,WATCH,0,,134.25999450683594,,False,2026-09-18,137.99000549316406,138.32000732421875,134.25999450683594,147.11000061035156,0.9187190174272861,0.6132999094247154,2.0879860974634936,True,False,False,6,,,
HEI-A,US,WATCH,0,,218.9199981689453,,False,2026-09-18,221.89999389648438,221.9499969482422,218.9199981689453,239.52999877929688,0.9834973360057208,0.369635501123007,2.4892996800568787,True,False,False,6,,,
HSY,US,WATCH,0,,166.69000244140625,,False,2026-09-18,169.7899932861328,170.49000549316406,166.69000244140625,178.02999877929688,0.8157864092484249,0.4394728494159502,3.1120693409991724,True,False,False,6,,,
RL,US,WATCH,0,,330.92999267578125,,False,2026-09-18,335.1000061035156,335.1000061035156,330.92999267578125,346.7300109863281,1.0,0.5395666078759981,1.5208459913780632,True,False,False,6,,,
SOLV,US,WATCH,0,,86.52999877929688,,False,2026-09-18,88.83999633789062,89.52999877929688,86.52999877929688,91.87000274658203,0.7699991861979166,0.4099985758463542,2.396976637180952,True,False,False,6,,,
GKOS,US,WATCH,0,,159.00999450683594,,False,2026-09-18,163.80999755859375,163.85000610351562,159.00999450683594,175.375,0.9917337915162597,0.6632197859360961,2.1291752989495873,True,False,False,6,,,
GIL,US,WATCH,0,,45.52000045776367,,False,2026-09-18,46.869998931884766,46.9900016784668,45.52000045776367,50.0099983215332,0.9183655463057153,0.5238094002366668,1.404075270014475,True,False,False,6,,,
PRI,US,WATCH,0,,286.1300048828125,,False,2026-09-18,290.5899963378906,290.8699951171875,286.1300048828125,296.989990234375,0.9409284058717486,0.7067537986093226,2.3939409713185156,True,False,False,6,,,
KT,US,WATCH,0,,19.09000015258789,,False,2026-09-18,19.3799991607666,19.479999542236328,19.09000015258789,20.1299991607666,0.7435883641770022,0.43589831370554405,1.4430999798401798,True,False,False,6,,,
LNC,US,WATCH,0,,41.459999084472656,,False,2026-09-18,42.20000076293945,42.220001220703125,41.459999084472656,44.5,0.973683682176379,0.39473472870551624,2.2498571389697677,True,False,False,6,,,
RHP,US,WATCH,0,,118.62999725341797,,False,2026-09-18,121.94000244140625,122.08000183105469,118.62999725341797,124.43000030517578,0.9594205206115007,0.6318833080126227,3.260961764322067,True,False,False,6,,,
LW,US,WATCH,0,,45.77000045776367,,False,2026-09-18,46.66999816894531,46.79999923706055,45.77000045776367,48.79999923706055,0.8737852211786318,0.4563087019643862,1.411783314699845,True,False,False,6,,,
BBUC,US,WATCH,0,,25.139999389648438,,False,2026-09-18,25.700000762939453,25.81999969482422,25.139999389648438,26.989999771118164,0.8235310617195302,0.4411779555475771,1.6892556033945703,True,False,False,6,,,
ABCB,US,WATCH,0,,82.02999877929688,,False,2026-09-18,83.5,83.5,82.02999877929688,85.61000061035156,1.0,0.37415142519047523,3.7698508805314326,True,False,False,6,,,
AIR,US,WATCH,0,,110.36000061035156,,False,2026-09-18,112.7699966430664,112.9000015258789,110.36000061035156,130.30999755859375,0.9488169937192684,0.4055111842678337,3.78575225943647,True,False,False,6,,,
MCY,US,WATCH,0,,98.37999725341797,,False,2026-09-18,100.94000244140625,100.94000244140625,98.37999725341797,104.5,1.0,0.5624998137358626,2.2504895643295897,True,False,False,6,,,
CIGI,US,WATCH,0,,87.86000061035156,,False,2026-09-18,89.61000061035156,89.69000244140625,87.86000061035156,95.0199966430664,0.9562831961711318,0.7814201499195371,1.2656699599573416,True,False,False,6,,,
CAR,US,WATCH,0,,112.36000061035156,,False,2026-09-18,117.70999908447266,119.8499984741211,112.36000061035156,129.0,0.7142857142857143,0.3644855148416722,3.2163108635236353,True,False,False,6,,,
GFF,US,WATCH,0,,91.33000183105469,,False,2026-09-18,93.22000122070312,93.25,91.33000183105469,96.98999786376953,0.9843756208823086,0.42708358168625676,2.5216831193732494,True,False,False,6,,,
KTB,US,WATCH,0,,65.12000274658203,,False,2026-09-18,66.36000061035156,66.79000091552734,65.12000274658203,69.5199966430664,0.7425145050025127,0.3952122070446343,2.2273316226721884,True,False,False,6,,,
LIVN,US,WATCH,0,,76.77999877929688,,False,2026-09-18,78.01000213623047,78.44000244140625,76.77999877929688,80.7699966430664,0.7409642430370439,0.40361706039158013,2.1904890634566,True,False,False,6,,,
SEZL,US,WATCH,0,,112.56999969482422,,False,2026-09-18,116.55000305175781,117.15499877929688,112.56999969482422,122.30999755859375,0.8680488880384049,0.6892048621799939,1.2423801116080058,True,False,False,6,,,
MIAX,US,WATCH,0,,37.400001525878906,,False,2026-09-18,38.790000915527344,39.189998626708984,37.400001525878906,43.02000045776367,0.7765372295876071,0.6424599935640198,4.2825361857925195,True,False,False,6,,,
WSBC,US,WATCH,0,,38.650001525878906,,False,2026-09-18,39.369998931884766,39.47999954223633,38.650001525878906,40.77000045776367,0.8674688274144104,0.6024110782750174,2.7424998284835,True,False,False,6,,,
QTWO,US,WATCH,0,,56.970001220703125,,False,2026-09-18,58.72999954223633,58.83000183105469,56.970001220703125,62.63999938964844,0.9462353462349361,0.3978481833022962,2.9756420749054913,True,False,False,6,,,
NMRK,US,WATCH,0,,13.5649995803833,,False,2026-09-18,13.9399995803833,13.9399995803833,13.5649995803833,14.539999961853027,1.0,0.6933314005533854,3.4860256992794834,True,False,False,6,,,
AAP,US,WATCH,0,,41.61000061035156,,False,2026-09-18,42.54999923706055,42.93000030517578,41.61000061035156,45.52000045776367,0.7121203363870184,0.6666676299742796,1.231202375088487,True,False,False,6,,,
MBIN,US,WATCH,0,,50.89500045776367,,False,2026-09-18,52.06999969482422,52.349998474121094,50.89500045776367,54.964985887699534,0.8075607140703531,0.4398627231469853,5.180555851801293,True,False,False,6,,,
GSHD,US,WATCH,0,,51.75,,False,2026-09-18,54.54999923706055,55.20000076293945,51.75,60.275001525878906,0.8115938022793088,0.44057974539942085,2.0503368698211104,True,False,False,6,,,
MD,US,WATCH,0,,25.18000030517578,,False,2026-09-18,25.93000030517578,25.969999313354492,25.18000030517578,27.329999923706055,0.9493682805109769,0.5443048671252357,2.742611814430378,True,False,False,6,,,
SRCE,US,WATCH,0,,84.41000366210938,,False,2026-09-18,85.87999725341797,86.25,84.41000366210938,88.13999938964844,0.7989111505481565,0.35869420994145257,2.604521090654859,True,False,False,6,,,
RBCAA,US,WATCH,0,,92.0,,False,2026-09-18,93.83999633789062,94.13999938964844,92.0,98.60692576565371,0.8598116180738269,0.3551377213059816,1.9594365241004752,True,False,False,6,,,
LZB,US,WATCH,0,,29.190000534057617,,False,2026-09-18,29.84000015258789,29.860000610351562,29.190000534057617,31.360000610351562,0.9701485739012108,0.5820885749829905,2.5908170115188347,True,False,False,6,,,
HCSG,US,WATCH,0,,21.010000228881836,,False,2026-09-18,21.469999313354492,21.5,21.010000228881836,22.399999618530273,0.9387740802877373,0.4489784002397811,2.61033854742898,True,False,False,6,,,
IART,US,WATCH,0,,14.880000114440918,,False,2026-09-18,15.220000267028809,15.239999771118164,14.880000114440918,16.3799991607666,0.9444457689933693,0.6666693157645164,2.545115340389083,True,False,False,6,,,
LGIH,US,WATCH,0,,47.599998474121094,,False,2026-09-18,48.58000183105469,48.65999984741211,47.599998474121094,51.5,0.9245302710230933,0.6603772226880625,2.292183788996232,True,False,False,6,,,
JCAP,US,WATCH,0,,20.020000457763672,,False,2026-09-18,20.540000915527344,20.635000228881836,20.020000457763672,21.684999465942383,0.8455295142927145,0.6016276047724052,2.778131436060663,True,False,False,6,,,
BVS,US,WATCH,0,,12.34000015258789,,False,2026-09-18,12.90999984741211,12.989999771118164,12.34000015258789,13.352999687194824,0.8769231220674497,0.6461543427419473,1.530911208259009,True,False,False,6,,,
TNC,US,WATCH,0,,65.94999694824219,,False,2026-09-18,67.4000015258789,67.62999725341797,65.94999694824219,70.51000213623047,0.8630978060953401,0.5059513807839201,2.2734053042752764,True,False,False,6,,,
MCB,US,WATCH,0,,87.30000305175781,,False,2026-09-18,89.19000244140625,89.36000061035156,87.30000305175781,92.36000061035156,0.9174765192142456,0.39805857604219136,1.6395616050910375,True,False,False,6,,,
MUFG,US,WATCH,0,,22.790000915527344,,False,2026-09-18,23.1299991607666,23.18000030517578,22.790000915527344,23.979999542236328,0.8717917367659141,0.48717672835400444,0.838962131324398,False,False,False,5,,,
SMFG,US,WATCH,0,,25.93000030517578,,False,2026-09-18,26.239999771118164,26.31999969482422,25.93000030517578,27.360000610351562,0.7948716694706366,0.43589831370554405,1.0747348868875388,False,False,False,5,,,
BUD,US,WATCH,0,,76.8499984741211,,False,2026-09-18,77.7300033569336,77.80000305175781,76.8499984741211,80.37000274658203,0.9263164657602454,0.4526297191593251,1.0300363804006856,False,False,False,5,,,
IBN,US,WATCH,0,,27.950000762939453,,False,2026-09-18,28.149999618530273,28.149999618530273,27.950000762939453,29.860000610351562,1.0,0.950008106278074,0.8315095878548907,False,False,False,5,,,
IX,US,WATCH,0,,38.880001068115234,,False,2026-09-18,39.29999923706055,39.459999084472656,38.880001068115234,40.33000183105469,0.7241372506461988,0.41379083548732926,1.0888131871680202,False,False,False,5,,,
PHG,US,WATCH,0,,24.450000762939453,,False,2026-09-18,24.68000030517578,24.75,24.450000762939453,25.18000030517578,0.7666670905229963,0.5,1.0236823064507152,False,False,False,5,,,
IHG,US,WATCH,0,,151.91000366210938,,False,2026-09-18,153.08999633789062,153.35000610351562,151.91000366210938,155.47000122070312,0.8194379688890773,0.645827152121392,0.8063479645720991,False,False,False,5,,,
TTAN,US,WATCH,0,,53.0,,False,2026-09-18,55.040000915527344,55.400001525878906,53.0,59.400001525878906,0.8499998410543816,0.627083379692472,0.7755541243814728,False,False,False,5,,,
CAKE,US,WATCH,0,,94.54000091552734,,False,2026-09-18,96.51000213623047,96.54000091552734,94.54000091552734,105.80000305175781,0.9850006103515625,0.6300010681152344,1.082449712306837,False,False,False,5,,,
