symbol,market,status,delay,entry_price,stop,risk_pct,target_1R,target_2R,both_highs,us_high_quality,reversal_date,reversal_close,reversal_high,reversal_low,prev5_high,clv,body_frac,vol_ratio20,vol_expand,ema20_reclaim_on_day1,prev5_high_reclaim_on_day1,score
ICE,US,CONFIRMED_ENTRY,2,156.35000610351562,152.0800018310547,0.027310547526514767,160.62001037597656,164.8900146484375,False,False,2026-09-18,155.47000122070312,156.0500030517578,152.0800018310547,159.99797347338838,0.853903865814942,0.7556672739432235,1.3278671051594995,True,False,False,6
TTE,US,CONFIRMED_ENTRY,1,91.66999816894531,88.9000015258789,0.030217046998968822,94.43999481201172,97.20999145507812,False,False,2026-09-22,89.8499984741211,90.04000091552734,88.9000015258789,93.45999908447266,0.8333311025150245,0.6578950890765751,1.106429830646547,True,False,False,6
GFF,US,CONFIRMED_ENTRY,2,96.58999633789062,91.33000183105469,0.05445692831828518,101.84999084472656,107.1099853515625,False,False,2026-09-18,93.22000122070312,93.25,91.33000183105469,96.98999786376953,0.9843756208823086,0.42708358168625676,2.5216831193732494,True,False,False,6
BVS,US,CONFIRMED_ENTRY,2,13.609999656677246,12.34000015258789,0.0933137058138188,14.879999160766602,16.149998664855957,True,True,2026-09-18,12.90999984741211,12.989999771118164,12.34000015258789,13.352999687194824,0.8769231220674497,0.6461543427419473,1.530911208259009,True,False,False,6
SHEL,US,CONFIRMED_ENTRY,1,95.41000366210938,92.47000122070312,0.030814404449853585,98.35000610351562,101.29000854492188,False,False,2026-09-22,93.93000030517578,94.18000030517578,92.47000122070312,99.15499877929688,0.8538010913163167,0.549709324374367,0.91690440912798,False,False,False,5
SRAD,US,CONFIRMED_ENTRY,1,13.170000076293945,12.0600004196167,0.08428243357987902,14.279999732971191,15.389999389648438,False,False,2026-09-21,12.539999961853027,12.720000267028809,12.0600004196167,13.454999923706055,0.7272722018322111,0.5,0.6815844478924894,False,False,False,5
CAKE,US,CONFIRMED_ENTRY,2,104.41000366210938,94.54000091552734,0.09453119816491183,114.2800064086914,124.15000915527344,False,False,2026-09-18,96.51000213623047,96.54000091552734,94.54000091552734,105.80000305175781,0.9850006103515625,0.6300010681152344,1.082449712306837,False,False,False,5
TMUS,US,WATCH,0,,161.13999938964844,,,,,False,2026-09-23,165.66000366210938,166.7050018310547,161.13999938964844,184.66000366210938,0.8122196387246784,0.5247074371826228,1.6509748668135802,True,False,False,6
SPOT,US,WATCH,0,,488.9700012207031,,,,,False,2026-09-23,510.3999938964844,513.2999877929688,488.9700012207031,564.8900146484375,0.8808057748872681,0.3760788716141211,1.2407894021986727,True,False,False,6
EQNR,US,WATCH,0,,42.13999938964844,,,,,False,2026-09-23,42.900001525878906,43.119998931884766,42.13999938964844,45.84000015258789,0.7755127461551337,0.7346954663469586,1.2292542843367051,True,False,False,6
CMI,US,WATCH,0,,515.0700073242188,,,,,False,2026-09-23,524.6500244140625,525.125,515.0700073242188,546.4099731445312,0.9527622146278097,0.3858784394898659,1.2426168707910699,True,False,False,6
ICE,US,WATCH,0,,151.4188995361328,,,,,False,2026-09-23,156.35000610351562,157.76730346679688,151.4188995361328,157.22000122070312,0.7767474504205033,0.6395328434871854,0.9587617065136929,False,True,False,6
RRR,US,WATCH,0,,47.779998779296875,,,,,False,2026-09-23,50.900001525878906,51.09000015258789,47.779998779296875,55.060001373291016,0.9425986260180685,0.7250756888637393,1.9589701972734908,True,False,False,6
CHDN,US,WATCH,0,,78.37999725341797,,,,,False,2026-09-23,80.45999908447266,80.66999816894531,78.37999725341797,85.4800033569336,0.9082973796871616,0.3930136096350219,1.1927401529207027,True,False,False,6
MANU,US,WATCH,0,,19.049999237060547,,,,,False,2026-09-23,20.489999771118164,20.549999237060547,19.049999237060547,20.510000228881836,0.9600003560384115,0.7599995930989584,1.5467576143572932,True,False,False,6
DORM,US,WATCH,0,,118.29499816894531,,,,,False,2026-09-23,121.41000366210938,121.95999908447266,118.29499816894531,126.94000244140625,0.8499330736772424,0.4774896487981365,1.2753880132737816,True,False,False,6
WK,US,WATCH,0,,69.25,,,,,False,2026-09-23,70.79000091552734,71.23500061035156,69.25,76.44999694824219,0.7758188624710775,0.37783363697161176,1.2495891241571604,True,False,False,6
PLGO,US,WATCH,0,,23.440000534057617,,,,,False,2026-09-23,23.90999984741211,24.045000076293945,23.440000534057617,24.940000534057617,0.7768589569790096,0.6776862109623764,1.618790323830383,True,False,False,6
NAC,US,WATCH,0,,10.1899995803833,,,,,False,2026-09-23,10.680000305175781,10.800000190734863,10.1899995803833,11.100000381469727,0.803279072966956,0.3606558145933912,5.120702533186922,True,False,False,6
PEB-PE,US,WATCH,0,,19.672800064086914,,,,,False,2026-09-23,19.899999618530273,19.899999618530273,19.672800064086914,20.139999389648438,1.0,0.6602108833257778,3.627360663288807,True,False,False,6
SUN,US,WATCH,0,,73.18000030517578,,,,,False,2026-09-23,75.05999755859375,75.80999755859375,73.18000030517578,80.22000122070312,0.7148285995259908,0.6387840530983206,1.0862472896966786,False,False,False,5
APA,US,WATCH,0,,42.29999923706055,,,,,False,2026-09-23,43.70000076293945,44.189998626708984,42.29999923706055,47.439998626708984,0.7407417872972558,0.455026924908972,1.0234242644837117,False,False,False,5
MEOH,US,WATCH,0,,57.58000183105469,,,,,False,2026-09-23,59.150001525878906,59.5099983215332,57.58000183105469,64.33485562191794,0.8134728236914873,0.5492245081897549,0.7786598686889102,False,False,False,5
VAC,US,WATCH,0,,97.41999816894531,,,,,False,2026-09-23,100.8499984741211,101.79000091552734,97.41999816894531,105.9000015258789,0.7848966016917343,0.36155625583770523,0.6689641892592465,False,False,False,5
GEO,US,WATCH,0,,29.186800003051758,,,,,False,2026-09-23,30.6200008392334,31.190000534057617,29.186800003051758,32.38999938964844,0.715455499336351,0.5191696484850331,1.062106558398909,False,False,False,5
