symbol,market,status,delay,entry_price,stop,risk_pct,us_high_quality,reversal_date,reversal_close,reversal_high,reversal_low,prev5_high,clv,body_frac,vol_ratio20,vol_expand,ema20_reclaim_on_day1,prev5_high_reclaim_on_day1,score,target_1R,target_2R,both_highs
RTX,US,WATCH,0,,191.17999267578125,,False,2026-09-18,194.0,194.0,191.17999267578125,200.3800048828125,1.0,0.35460900807306883,2.452700747408021,True,False,False,6,,,
MUFG,US,WATCH,0,,22.790000915527344,,False,2026-09-18,23.1299991607666,23.18000030517578,22.790000915527344,23.979999542236328,0.8717917367659141,0.48717672835400444,0.838962131324398,False,False,False,5,,,
TMUS,US,WATCH,0,,164.02000427246094,,False,2026-09-18,168.17999267578125,169.49000549316406,164.02000427246094,185.5800018310547,0.7605095932292277,0.6252280449227576,2.841106460836784,True,False,False,6,,,
SMFG,US,WATCH,0,,25.93000030517578,,False,2026-09-18,26.239999771118164,26.31999969482422,25.93000030517578,27.360000610351562,0.7948716694706366,0.43589831370554405,1.0747348868875388,False,False,False,5,,,
BUD,US,WATCH,0,,76.8499984741211,,False,2026-09-18,77.7300033569336,77.80000305175781,76.8499984741211,80.37000274658203,0.9263164657602454,0.4526297191593251,1.0300363804006856,False,False,False,5,,,
COF,US,WATCH,0,,200.27999877929688,,False,2026-09-18,202.42999267578125,202.97000122070312,200.27999877929688,211.2899932861328,0.7992535112200213,0.4200701109522837,2.355349277239128,True,False,False,6,,,
MFG,US,WATCH,0,,10.729999542236328,,False,2026-09-18,10.9399995803833,10.949999809265137,10.729999542236328,11.489999771118164,0.9545444693459103,0.6363600896452769,0.8811075571374747,False,True,False,6,,,
BMY,US,WATCH,0,,62.189998626708984,,False,2026-09-18,63.060001373291016,63.06999969482422,62.189998626708984,65.29000091552734,0.988638284775475,0.39772939090629295,4.029505963825929,True,False,False,6,,,
BNY,US,WATCH,0,,151.77999877929688,,False,2026-09-18,153.7899932861328,153.89999389648438,151.77999877929688,165.22999572753906,0.9481128001381931,0.721699199631485,2.5323846996891786,True,False,False,6,,,
IBN,US,WATCH,0,,27.950000762939453,,False,2026-09-18,28.149999618530273,28.149999618530273,27.950000762939453,29.860000610351562,1.0,0.950008106278074,0.8315095878548907,False,False,False,5,,,
SHW,US,WATCH,0,,314.3800048828125,,False,2026-09-18,320.7300109863281,321.3900146484375,314.3800048828125,328.44000244140625,0.9058483961968447,0.38231376031762615,1.7718341018406891,True,False,False,6,,,
ICE,US,WATCH,0,,152.0800018310547,,False,2026-09-18,155.47000122070312,156.0500030517578,152.0800018310547,159.99797347338838,0.853903865814942,0.7556672739432235,1.3278671051594995,True,False,False,6,,,
MCO,US,WATCH,0,,456.9700012207031,,False,2026-09-18,468.5899963378906,470.989990234375,456.9700012207031,485.8399963378906,0.8288162783762546,0.6126963672734634,2.00669801909648,True,False,False,6,,,
SE,US,WATCH,0,,99.54000091552734,,False,2026-09-18,101.79000091552734,102.53500366210938,99.54000091552734,110.22000122070312,0.7512513978719231,0.4808017097979677,1.1877657843576257,True,False,False,6,,,
HEI,US,WATCH,0,,293.57000732421875,,False,2026-09-18,298.2200012207031,298.4200134277344,293.57000732421875,317.1700134277344,0.9587604215825075,0.6659808085574956,1.3676644256609107,True,False,False,6,,,
IX,US,WATCH,0,,38.880001068115234,,False,2026-09-18,39.29999923706055,39.459999084472656,38.880001068115234,40.33000183105469,0.7241372506461988,0.41379083548732926,1.0888131871680202,False,False,False,5,,,
KB,US,WATCH,0,,125.31999969482422,,False,2026-09-18,126.93000030517578,127.16000366210938,125.31999969482422,133.2899932861328,0.8749984450995758,0.5217375079299922,1.008591946652988,False,True,False,6,,,
YUM,US,WATCH,0,,134.25999450683594,,False,2026-09-18,137.99000549316406,138.32000732421875,134.25999450683594,147.11000061035156,0.9187190174272861,0.6132999094247154,2.0879860974634936,True,False,False,6,,,
