symbol,status,grade,quality_score,market_cap_cad,market_cap_cad_bn,current_price,day_low,breakout_level,ema20_live,ema20_breakout_distance_pct,rs_vs_xiu_pct,pct_below_52w_high,breakout_age_days,undercut_vs_breakout_pct,shallow_bonus,headroom_bonus,congestion_score,congestion_status,touched_breakout_today,touched_ema20_today,above_both_now,entry_marker,double_reclaim,reclaim_breakout,reclaim_breakout_only,candle_pattern,candle_side,high_conviction_score,high_conviction_entry,high_conviction_reasons
EDV.TO,RECLAIM_PENDING,A,7,20323288805.0,20.32,84.29,82.54,84.253,84.405,0.181,15.32,12.08,21,-2.03,0,0,1,PRE_BREAKOUT,True,True,False,False,False,True,True,BEAR_CANDLE,BEAR,5,False,RECLAIM_BREAKOUT|RS10+|GRADE_A
GGD.TO,WATCH_CLUSTER,C,4,1881459337.0,1.88,4.36,4.25,4.3,4.233,1.568,34.0,4.18,19,-1.16,0,1,1,PRE_BREAKOUT,True,False,True,False,False,True,True,BULL_CANDLE,BULL,6,False,RECLAIM_BREAKOUT|RS20+|BULL_CANDLE
NWC.TO,WATCH_CLUSTER,D,6,2526328387.0,2.53,53.44,52.39,52.38,51.392,1.886,7.47,4.35,9,0.02,2,1,3,BOTH,True,False,True,False,False,True,True,BULL_CANDLE,BULL,4,False,RECLAIM_BREAKOUT|BULL_CANDLE
