symbol,status,grade,quality_score,market_cap_cad,market_cap_cad_bn,current_price,day_low,breakout_level,ema20_live,ema20_breakout_distance_pct,rs_vs_xiu_pct,pct_below_52w_high,breakout_age_days,undercut_vs_breakout_pct,shallow_bonus,headroom_bonus,congestion_score,congestion_status,touched_breakout_today,touched_ema20_today,above_both_now
ARX.TO,READY_NOW,D,6,18866239246.0,18.87,33.38,33.22,33.16,33.209,0.147,-0.41,2.45,19,0.18,2,1,3,BOTH,True,True,True
BHC.TO,READY_NOW,D,2,3287377017.0,3.29,8.8,8.51,8.5,8.731,2.714,12.73,20.58,19,0.12,2,0,0,NONE,True,True,True
