symbol,status,grade,quality_score,market_cap_cad,market_cap_cad_bn,current_price,day_low,breakout_level,ema20_live,ema20_breakout_distance_pct,rs_vs_xiu_pct,pct_below_52w_high,breakout_age_days,undercut_vs_breakout_pct,shallow_bonus,headroom_bonus,congestion_score,congestion_status,touched_breakout_today,touched_ema20_today,above_both_now,entry_marker,double_reclaim,reclaim_breakout,reclaim_breakout_only,candle_pattern,candle_side,high_conviction_score,high_conviction_entry,high_conviction_reasons
MX.TO,READY_NOW,B,5,6534959390.0,6.53,84.51,82.08,84.297,83.609,0.816,13.74,8.54,9,-2.63,0,0,1,PRE_BREAKOUT,True,True,True,False,True,True,False,UNKNOWN,NEUTRAL,7,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS10+|GRADE_B
FNV.TO,READY_NOW,C,5,70812692093.0,70.81,367.2,360.86,366.872,362.815,1.106,18.42,4.9,20,-1.64,0,1,2,BOTH,True,True,True,False,True,True,False,UNKNOWN,NEUTRAL,7,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS10+
CG.TO,READY_NOW,C,4,6300518717.0,6.3,32.21,31.2,31.93,31.351,1.814,38.8,5.1,22,-2.29,0,1,1,PRE_BREAKOUT,True,True,True,False,True,True,False,UNKNOWN,NEUTRAL,7,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS20+
RIO.TO,READY_NOW,C,3,1965332452.0,1.97,3.6,3.49,3.55,3.513,1.035,37.95,11.98,19,-1.69,0,0,1,PRE_BREAKOUT,True,True,True,False,True,True,False,UNKNOWN,NEUTRAL,7,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS20+
AC.TO,READY_NOW,D,4,8113664937.0,8.11,28.94,27.36,27.3,27.999,2.562,16.91,7.98,28,0.22,2,1,1,PRE_BREAKOUT,True,True,True,False,True,True,False,UNKNOWN,NEUTRAL,6,False,DOUBLE_RECLAIM|RECLAIM_BREAKOUT|RS10+
EDV.TO,RECLAIM_PENDING,A,7,20323288805.0,20.32,84.29,82.54,84.253,84.405,0.181,15.32,12.08,21,-2.03,0,0,1,PRE_BREAKOUT,True,True,False,False,False,True,True,UNKNOWN,NEUTRAL,5,False,RECLAIM_BREAKOUT|RS10+|GRADE_A
GGD.TO,WATCH_CLUSTER,C,4,1881459337.0,1.88,4.36,4.25,4.3,4.233,1.568,34.0,4.18,19,-1.16,0,1,1,PRE_BREAKOUT,True,False,True,False,False,True,True,UNKNOWN,NEUTRAL,5,False,RECLAIM_BREAKOUT|RS20+
NWC.TO,WATCH_CLUSTER,D,6,2526328387.0,2.53,53.44,52.39,52.38,51.392,1.886,7.47,4.35,9,0.02,2,1,3,BOTH,True,False,True,False,False,True,True,UNKNOWN,NEUTRAL,3,False,RECLAIM_BREAKOUT
