symbol,marker,blue_marker,candle,current_price,day_open,day_high,day_low,day_volume,breakout_level,breakout_age_days,ema20_live,ema50_live,sma200_live,distance_above_ema20_pct,avg_volume_20,avg_dollar_volume_20,pct_below_52w_high,benchmark_symbol,rs_vs_benchmark_pct,rs_vs_spy_pct,market_pass,strong_uptrend,not_overextended,liquid_stock,near_year_high,outperforming_benchmark,outperforming_spy,slight_undercut,reclaimed_level,bullish_reclaim_candle,market_cap_cad
MG.TO,ENTRY,True,BULL,100.53,97.83,100.87,97.715,659849.0,98.3596,13,97.1096,94.0925,81.352,3.522,1437657.0,140099689.0,0.337,XIU.TO,6.128,6.128,True,True,True,True,True,True,True,True,True,True,26869693985.0
NTR.TO,ENTRY,True,BULL,103.67,101.11,103.92,101.01,955230.0,101.66,1,96.823,95.2739,92.9447,7.072,1282406.0,123163024.0,9.905,XIU.TO,2.2,2.2,True,True,True,True,True,True,True,True,True,True,49491456338.0
