symbol,group,date,gap_pct,chart_type,ret60,maxdd60,dist60high,pullback60,range10vs20,ema20gt50,closegt20,ema20slope10
APGE,POWER_GAP,2024-03-05,43.53137862550449,HIGH_LOOSE,94.13954269054324,-11.297071977334294,3.4913255989207013,0.0,1.0,True,True,2.641642309941683
APGE,CONTROL,2023-10-09,0.0,BASE_ACCUM,0.6730831833283046,-19.142046610631326,18.01096404296956,15.256975678255053,0.7359813121974699,False,False,-2.683563817058343
APGE,CONTROL,2023-11-29,0.0,REVERSAL_DEPRESSED,-24.503587741300347,-36.62864405723916,29.50690110326009,24.50358774130035,0.5784870821924991,False,True,0.3934844335519383
APGE,CONTROL,2024-01-22,0.0,HIGH_TIGHT,124.5270602755764,-20.49266175601032,1.2905098271396191,0.0,0.7199865143872479,True,True,16.319790245827637
ATAI,POWER_GAP,2025-07-01,20.54794684594001,BASE_ACCUM,66.53992105897733,-18.875503084743826,17.04545567433035,12.04819080993089,0.7968748544808716,True,True,2.2883708683185233
ATAI,CONTROL,2024-11-20,0.0,BASE_ACCUM,26.190479794687537,-18.461539872299337,18.46153874369062,8.092484633026954,0.6913579285866717,True,True,21.902803728267628
ATAI,CONTROL,2025-02-20,0.0,REVERSAL_DEPRESSED,34.21052549024037,-33.707867049761575,20.467839518738398,20.0,0.3693438899804704,True,True,19.258947838339857
ATAI,CONTROL,2025-05-16,0.0,REVERSAL_DEPRESSED,-17.08542873111596,-39.19597827395732,23.25581846654943,17.08542873111596,1.0,False,True,1.5062436132821322
CRNX,POWER_GAP,2023-09-11,57.056983801092564,REVERSAL_DEPRESSED,-21.677289136475242,-23.110255584711158,26.574711415959502,23.110255584711165,0.8841694491371278,False,False,-2.8317943801809853
CRNX,CONTROL,2023-02-03,0.0,HIGH_TIGHT,12.415354673752411,-16.675633975388536,7.990760151125446,5.59241840683601,0.40784548131164233,True,True,7.4982287989241225
CRNX,CONTROL,2023-05-02,0.0,HIGH_TIGHT,3.6264355688982564,-26.57074273618075,0.9026063353697112,0.0,0.7422818206297306,True,True,10.143160771076754
CRNX,CONTROL,2023-07-28,0.0,REVERSAL_DEPRESSED,-12.88826526948882,-24.533901787872615,23.55573240907367,20.38135333980377,0.7706942713067071,False,False,-1.8322325516777371
CRNX,POWER_GAP,2024-02-28,15.270571086650463,HIGH_LOOSE,27.304183879202615,-8.79370878488258,0.7845052406027427,0.0,0.9798480324129536,True,True,0.2272552951987139
CRNX,CONTROL,2023-07-25,0.0,REVERSAL_DEPRESSED,-4.81064733886809,-24.533901787872615,24.328720751821272,21.186440335509086,0.8403698458647919,False,False,0.365761494394623
CRNX,CONTROL,2023-10-25,0.0,HIGH_LOOSE,48.461131826842994,-16.822918581051884,8.193551340410785,6.963063280452577,0.770406059782221,True,True,4.888530575958283
CRNX,CONTROL,2024-01-16,0.0,HIGH_LOOSE,33.93177280485236,-13.061889671750905,4.309903347626868,1.635018359237463,0.8568874090571575,True,True,4.033409782945929
