rule,target_R,N,target_rate,stop_rate,time_rate,mean_return,median_return,mean_R,win_rate,avg_risk_pct,avg_bars
BOTH_HIGHS,1,471,0.29723991507430997,0.18259023354564755,0.5201698513800425,0.010208574660676498,0.013960690889526894,0.14590685554582225,0.5753715498938429,0.07244565183286963,7.923566878980892
BOTH_HIGHS,2,471,0.044585987261146494,0.18683651804670912,0.7685774946921444,0.011020985152601156,0.00772838379243268,0.15702282288322678,0.5456475583864119,0.07244565183286963,9.033970276008493
BOTH_HIGHS,3,471,0.008492569002123142,0.18683651804670912,0.8046709129511678,0.011292956383862336,0.00772838379243268,0.16035873386936347,0.5456475583864119,0.07244565183286963,9.104033970276008
BOTH_HIGHS+EMA20,1,445,0.2966292134831461,0.17752808988764046,0.5258426966292135,0.010446315017675182,0.013860287376522562,0.14921903423926552,0.5775280898876405,0.07285092741223413,7.948314606741573
BOTH_HIGHS+EMA20,2,445,0.038202247191011236,0.18202247191011237,0.7797752808988764,0.01068529081744142,0.007055866768018726,0.15128382462397016,0.5460674157303371,0.07285092741223413,9.058426966292135
BOTH_HIGHS+EMA20,3,445,0.008988764044943821,0.18202247191011237,0.8089887640449438,0.010851173295312872,0.007055866768018726,0.15353438181647436,0.5460674157303371,0.07285092741223413,9.125842696629213
PREV5_HIGH,1,475,0.29894736842105263,0.18526315789473685,0.5157894736842106,0.01020856486608021,0.013860287376522562,0.14456542794274474,0.5747368421052632,0.07201054013613821,7.894736842105263
PREV5_HIGH,2,475,0.04421052631578947,0.18947368421052632,0.7663157894736842,0.01099526782734533,0.007466255125578636,0.15518481207949728,0.5452631578947369,0.07201054013613821,9.025263157894736
PREV5_HIGH,3,475,0.008421052631578947,0.18947368421052632,0.8021052631578948,0.011264948774553783,0.007466255125578636,0.1584926311836455,0.5452631578947369,0.07201054013613821,9.094736842105263
REV_HIGH,1,2219,0.4276701216764308,0.3722397476340694,0.20009013068949977,0.0037807559551759425,0.012309525062307758,0.06981879966089992,0.5421360973411447,0.04936994757927107,5.343397926994141
REV_HIGH,2,2219,0.17395223073456512,0.4155024785939612,0.41054529067147366,0.005956245356387502,-0.005918154095189254,0.12313035808336269,0.4790446146913024,0.04936994757927107,6.924740874267688
REV_HIGH,3,2219,0.07255520504731862,0.4227129337539432,0.5047318611987381,0.007003441601588878,-0.0085497888078232,0.1411042642740769,0.46913023884632715,0.04936994757927107,7.385308697611537
REV_HIGH+EMA20,1,1264,0.40585443037974683,0.2958860759493671,0.29825949367088606,0.007333363035009356,0.017450053839001,0.13043761031379136,0.5783227848101266,0.055904151130153845,6.317246835443038
REV_HIGH+EMA20,2,1264,0.1337025316455696,0.32674050632911394,0.5395569620253164,0.008286264263150916,0.002789537926804475,0.1518589367123883,0.5174050632911392,0.055904151130153845,7.833860759493671
REV_HIGH+EMA20,3,1264,0.04588607594936709,0.3299050632911392,0.6242088607594937,0.009355027870233103,0.0023602349505010833,0.17055588859177134,0.5134493670886076,0.055904151130153845,8.157436708860759
