rule,support,gap_hits,control_hits,gap_coverage,control_coverage,precision_in_sample,lift
near_high_5 + range_contract_075 + atr_expand_110,4,3,1,0.09090909090909091,0.010101010101010102,0.75,9.0
near_high_5 + range_vs_prior_075 + atr_expand_110,4,3,1,0.09090909090909091,0.010101010101010102,0.75,9.0
range_contract_075 + range_vs_prior_075 + atr_expand_110,7,5,2,0.15151515151515152,0.020202020202020204,0.7142857142857143,7.5
range_contract_075 + atr_expand_110 + trend_stack,7,5,2,0.15151515151515152,0.020202020202020204,0.7142857142857143,7.5
range_vs_prior_075 + atr_expand_110 + trend_stack,7,5,2,0.15151515151515152,0.020202020202020204,0.7142857142857143,7.5
range_contract_075 + atr_expand_110 + ema20_gt_ema50,9,6,3,0.18181818181818182,0.030303030303030304,0.6666666666666666,6.0
range_vs_prior_075 + atr_expand_110 + ema20_gt_ema50,9,6,3,0.18181818181818182,0.030303030303030304,0.6666666666666666,6.0
shallow_pullback_8 + range_vs_prior_075 + atr_expand_110,8,5,3,0.15151515151515152,0.030303030303030304,0.625,5.0
range_contract_075 + atr_expand_110 + close_gt_ema20,8,5,3,0.15151515151515152,0.030303030303030304,0.625,5.0
range_vs_prior_075 + volume_dry_080 + ema20_gt_ema50,7,4,3,0.12121212121212122,0.030303030303030304,0.5714285714285714,4.0
shallow_pullback_8 + range_contract_075 + atr_expand_110,9,5,4,0.15151515151515152,0.04040404040404041,0.5555555555555556,3.75
range_vs_prior_075 + atr_expand_110 + close_gt_ema20,9,5,4,0.15151515151515152,0.04040404040404041,0.5555555555555556,3.75
range_vs_prior_075 + atr_expand_110,11,6,5,0.18181818181818182,0.050505050505050504,0.5454545454545454,3.6
range_contract_075 + atr_expand_110,12,6,6,0.18181818181818182,0.06060606060606061,0.5,3.0
volume_dry_080 + ema20_gt_ema50,8,4,4,0.12121212121212122,0.04040404040404041,0.5,3.0
shallow_pullback_8 + atr_expand_110 + higher_lows_2of2,8,4,4,0.12121212121212122,0.04040404040404041,0.5,3.0
atr_expand_110 + trend_stack + higher_lows_2of2,8,4,4,0.12121212121212122,0.04040404040404041,0.5,3.0
atr_expand_110 + higher_lows_2of2 + close_gt_ema20,8,4,4,0.12121212121212122,0.04040404040404041,0.5,3.0
near_high_5 + atr_expand_110 + higher_lows_2of2,6,3,3,0.09090909090909091,0.030303030303030304,0.5,3.0
range_contract_075 + volume_dry_080 + ema20_gt_ema50,6,3,3,0.09090909090909091,0.030303030303030304,0.5,3.0
near_high_5 + volume_dry_080,4,2,2,0.06060606060606061,0.020202020202020204,0.5,3.0
near_high_5 + shallow_pullback_8 + volume_dry_080,4,2,2,0.06060606060606061,0.020202020202020204,0.5,3.0
near_high_5 + range_vs_prior_075 + volume_dry_080,4,2,2,0.06060606060606061,0.020202020202020204,0.5,3.0
near_high_5 + volume_dry_080 + trend_stack,4,2,2,0.06060606060606061,0.020202020202020204,0.5,3.0
near_high_5 + volume_dry_080 + ema20_gt_ema50,4,2,2,0.06060606060606061,0.020202020202020204,0.5,3.0
near_high_5 + volume_dry_080 + close_gt_ema20,4,2,2,0.06060606060606061,0.020202020202020204,0.5,3.0
range_contract_075 + volume_expand_110 + atr_expand_110,4,2,2,0.06060606060606061,0.020202020202020204,0.5,3.0
near_high_5 + atr_expand_110 + trend_stack,15,7,8,0.21212121212121213,0.08080808080808081,0.4666666666666667,2.625
near_high_5 + atr_expand_110 + ema20_gt_ema50,15,7,8,0.21212121212121213,0.08080808080808081,0.4666666666666667,2.625
shallow_pullback_8 + range_contract_075 + trend_stack,28,12,16,0.36363636363636365,0.16161616161616163,0.42857142857142855,2.25
shallow_pullback_8 + range_vs_prior_075 + volume_dry_080,7,3,4,0.09090909090909091,0.04040404040404041,0.42857142857142855,2.25
shallow_pullback_8 + volume_dry_080 + ema20_gt_ema50,7,3,4,0.09090909090909091,0.04040404040404041,0.42857142857142855,2.25
shallow_pullback_8 + range_contract_075 + ema20_gt_ema50,33,14,19,0.42424242424242425,0.1919191919191919,0.42424242424242425,2.210526315789474
shallow_pullback_8 + range_vs_prior_075 + ema20_gt_ema50,33,14,19,0.42424242424242425,0.1919191919191919,0.42424242424242425,2.210526315789474
range_contract_075 + ema20_gt_ema50,38,16,22,0.48484848484848486,0.2222222222222222,0.42105263157894735,2.181818181818182
atr_expand_110 + higher_lows_2of2,12,5,7,0.15151515151515152,0.0707070707070707,0.4166666666666667,2.142857142857143
atr_expand_110 + higher_lows_2of2 + ema20_gt_ema50,12,5,7,0.15151515151515152,0.0707070707070707,0.4166666666666667,2.142857142857143
range_vs_prior_075 + ema20_gt_ema50,41,17,24,0.5151515151515151,0.24242424242424243,0.4146341463414634,2.125
near_high_5 + atr_expand_110,17,7,10,0.21212121212121213,0.10101010101010101,0.4117647058823529,2.1
near_high_5 + shallow_pullback_8 + atr_expand_110,17,7,10,0.21212121212121213,0.10101010101010101,0.4117647058823529,2.1
near_high_5 + atr_expand_110 + close_gt_ema20,17,7,10,0.21212121212121213,0.10101010101010101,0.4117647058823529,2.1
range_contract_075 + range_vs_prior_075 + ema20_gt_ema50,32,13,19,0.3939393939393939,0.1919191919191919,0.40625,2.0526315789473686
range_contract_075 + trend_stack,30,12,18,0.36363636363636365,0.18181818181818182,0.4,2.0
range_contract_075 + trend_stack + ema20_gt_ema50,30,12,18,0.36363636363636365,0.18181818181818182,0.4,2.0
range_contract_075 + trend_stack + close_gt_ema20,30,12,18,0.36363636363636365,0.18181818181818182,0.4,2.0
range_contract_075 + ema20_gt_ema50 + close_gt_ema20,30,12,18,0.36363636363636365,0.18181818181818182,0.4,2.0
range_vs_prior_075 + volume_dry_080 + trend_stack,5,2,3,0.06060606060606061,0.030303030303030304,0.4,2.0
shallow_pullback_8 + range_contract_075,38,15,23,0.45454545454545453,0.23232323232323232,0.39473684210526316,1.9565217391304348
shallow_pullback_8 + range_vs_prior_075 + trend_stack,28,11,17,0.3333333333333333,0.1717171717171717,0.39285714285714285,1.9411764705882353
shallow_pullback_8 + atr_expand_110 + trend_stack,23,9,14,0.2727272727272727,0.1414141414141414,0.391304347826087,1.9285714285714286
near_high_5 + range_contract_075,18,7,11,0.21212121212121213,0.1111111111111111,0.3888888888888889,1.9090909090909092
near_high_5 + shallow_pullback_8 + range_contract_075,18,7,11,0.21212121212121213,0.1111111111111111,0.3888888888888889,1.9090909090909092
near_high_5 + range_contract_075 + trend_stack,18,7,11,0.21212121212121213,0.1111111111111111,0.3888888888888889,1.9090909090909092
near_high_5 + range_contract_075 + ema20_gt_ema50,18,7,11,0.21212121212121213,0.1111111111111111,0.3888888888888889,1.9090909090909092
near_high_5 + range_contract_075 + close_gt_ema20,18,7,11,0.21212121212121213,0.1111111111111111,0.3888888888888889,1.9090909090909092
range_vs_prior_075 + trend_stack,29,11,18,0.3333333333333333,0.18181818181818182,0.3793103448275862,1.8333333333333333
range_vs_prior_075 + trend_stack + ema20_gt_ema50,29,11,18,0.3333333333333333,0.18181818181818182,0.3793103448275862,1.8333333333333333
range_vs_prior_075 + trend_stack + close_gt_ema20,29,11,18,0.3333333333333333,0.18181818181818182,0.3793103448275862,1.8333333333333333
range_vs_prior_075 + ema20_gt_ema50 + close_gt_ema20,29,11,18,0.3333333333333333,0.18181818181818182,0.3793103448275862,1.8333333333333333
near_high_5 + trend_stack,37,14,23,0.42424242424242425,0.23232323232323232,0.3783783783783784,1.8260869565217392
near_high_5 + ema20_gt_ema50,37,14,23,0.42424242424242425,0.23232323232323232,0.3783783783783784,1.8260869565217392
shallow_pullback_8 + range_vs_prior_075,37,14,23,0.42424242424242425,0.23232323232323232,0.3783783783783784,1.8260869565217392
near_high_5 + shallow_pullback_8 + trend_stack,37,14,23,0.42424242424242425,0.23232323232323232,0.3783783783783784,1.8260869565217392
near_high_5 + shallow_pullback_8 + ema20_gt_ema50,37,14,23,0.42424242424242425,0.23232323232323232,0.3783783783783784,1.8260869565217392
near_high_5 + trend_stack + ema20_gt_ema50,37,14,23,0.42424242424242425,0.23232323232323232,0.3783783783783784,1.8260869565217392
near_high_5 + trend_stack + close_gt_ema20,37,14,23,0.42424242424242425,0.23232323232323232,0.3783783783783784,1.8260869565217392
near_high_5 + ema20_gt_ema50 + close_gt_ema20,37,14,23,0.42424242424242425,0.23232323232323232,0.3783783783783784,1.8260869565217392
shallow_pullback_8 + range_contract_075 + close_gt_ema20,32,12,20,0.36363636363636365,0.20202020202020202,0.375,1.8
shallow_pullback_8 + volume_dry_080,8,3,5,0.09090909090909091,0.050505050505050504,0.375,1.8
near_high_5 + volume_expand_110 + atr_expand_110,8,3,5,0.09090909090909091,0.050505050505050504,0.375,1.8
range_contract_075 + volume_expand_110 + trend_stack,8,3,5,0.09090909090909091,0.050505050505050504,0.375,1.8
range_contract_075 + volume_expand_110 + ema20_gt_ema50,8,3,5,0.09090909090909091,0.050505050505050504,0.375,1.8
range_vs_prior_075 + volume_expand_110 + ema20_gt_ema50,8,3,5,0.09090909090909091,0.050505050505050504,0.375,1.8
near_high_5 + range_vs_prior_075,19,7,12,0.21212121212121213,0.12121212121212122,0.3684210526315789,1.75
near_high_5 + higher_lows_2of2,19,7,12,0.21212121212121213,0.12121212121212122,0.3684210526315789,1.75
near_high_5 + shallow_pullback_8 + range_vs_prior_075,19,7,12,0.21212121212121213,0.12121212121212122,0.3684210526315789,1.75
near_high_5 + shallow_pullback_8 + higher_lows_2of2,19,7,12,0.21212121212121213,0.12121212121212122,0.3684210526315789,1.75
near_high_5 + range_vs_prior_075 + trend_stack,19,7,12,0.21212121212121213,0.12121212121212122,0.3684210526315789,1.75
near_high_5 + range_vs_prior_075 + ema20_gt_ema50,19,7,12,0.21212121212121213,0.12121212121212122,0.3684210526315789,1.75
near_high_5 + range_vs_prior_075 + close_gt_ema20,19,7,12,0.21212121212121213,0.12121212121212122,0.3684210526315789,1.75
