feature,gap_mean,control_mean,difference,std_mean_diff
ema20_slope10_pct,2.2976073697634796,0.17929447866293372,2.1183128911005458,0.5462569903368091
dist_from_60d_high_pct,8.554528480178725,12.133931374772661,-3.5794028945939367,-0.39614306954458867
pullback_from_60d_close_high_pct,6.976086689475111,10.418543452999607,-3.442456763524496,-0.3922251864289198
up_days20_pct,51.96969696969697,49.24242424242424,2.7272727272727266,0.2793333697536201
max_drawdown60_pct,-14.504559166881034,-16.617718901353232,2.113159734472198,0.24035757313962547
ret60_pct,5.707053182685567,1.9116193223992046,3.7954338602863626,0.22541008999758605
vol10_vs40,1.02339952972741,1.0811740397520166,-0.05777451002460654,-0.20744402529323053
higher_low_score,1.121212121212121,0.9797979797979798,0.14141414141414133,0.20477348733475492
atr10_vs40,1.0281840981424557,1.0643432617081725,-0.0361591635657168,-0.16992029715082607
range10_vs_prev20,0.79975010627017,0.8745577560767132,-0.0748076498065432,-0.15982316984049505
range10_pct,12.217858867875432,13.469479157643178,-1.2516202897677466,-0.15402256332855382
range10_vs20,0.7153976309095489,0.744029544601954,-0.028631913692405142,-0.1436173821002393
range20_pct,18.640806725831258,18.832034750816693,-0.19122802498543479,-0.015311626598644703
ret_std10_pct,2.384664237065882,2.3987845240902845,-0.0141202870244026,-0.00935280794998326
