symbol,group,event_date,gap_pct,ret60_pct,max_drawdown60_pct,pullback_from_60d_close_high_pct,dist_from_60d_high_pct,ema20_slope10_pct,higher_low_score,range10_pct,range20_pct,range10_vs20,range10_vs_prev20,atr10_vs40,vol10_vs40,up_days20_pct,ret_std10_pct,near_high_5,shallow_pullback_8,range_contract_075,range_vs_prior_075,volume_dry_080,volume_expand_110,atr_contract_080,atr_expand_110,trend_stack,higher_lows_2of2,ema20_gt_ema50,close_gt_ema20
TECH,GAP,2026-06-25,19.27649810279066,13.353159376269108,-28.52426447399441,2.626301127923356,5.5722963841291895,6.676616281063774,1,15.951504533595461,27.615410342498727,0.5776305452556284,0.5712978294896275,0.977918441576745,0.8689017791952358,60.0,3.3498126763844214,False,True,True,True,False,False,False,False,True,False,True,True
TECH,CONTROL,2025-12-31,0.0,-0.5079506730161887,-13.613551929153122,10.8547623738047,12.052952151854058,-1.8678603926717496,1,4.926112664134763,14.384165038699459,0.34246775192591616,0.29437057346448636,0.5398629367302412,0.6968290817645666,45.0,0.833466945267302,False,False,True,True,True,False,True,False,False,False,False,False
TECH,CONTROL,2026-03-16,0.0,-14.23816318468456,-31.527497172983388,31.52749717298339,32.26764357058705,-7.676735917575018,1,21.55440758993077,24.580313184797852,0.8768971911741746,0.7476287197647227,1.0207324364494044,1.02757718482176,40.0,2.460958106289782,False,False,False,True,False,False,False,False,False,False,False,False
TECH,CONTROL,2026-05-27,0.0,-15.460584221349471,-28.52426447399441,20.470429540260408,22.876559121619746,-7.164040957560747,1,14.633082959041444,31.967579123965393,0.4577476105493188,0.3805444502881104,0.7794703632996337,1.1870444366382717,45.0,2.681549746073327,False,False,True,True,False,True,True,False,False,False,False,False
APGE,GAP,2026-06-22,46.713885962749345,15.089772899939424,-15.672448401873485,1.973969365580242,5.177574423314962,3.5147257021577616,0,13.400790335221702,22.533335367838546,0.5947095765657678,0.5982494598633222,1.1162771409882337,1.2165208291097973,50.0,4.044024187211453,False,True,True,True,False,True,False,True,True,False,True,True
APGE,CONTROL,2025-12-26,0.0,95.20322772885197,-6.357567648740203,1.5533501483088612,4.531421491229681,6.381775558555192,2,10.115560167653737,19.66607195416321,0.5143660712332705,0.36863323282855776,0.8697483807904677,1.2076794203138783,60.0,1.4940483053526445,True,True,True,True,False,True,False,False,True,True,True,True
APGE,CONTROL,2026-03-09,0.0,-1.47251532098025,-24.62695518852972,9.086495009146851,11.376531924000547,2.204081905975852,0,14.348486698035035,25.05385771147235,0.5727056832235762,0.6580022107634913,1.0350566305619662,0.9078934959605168,60.0,2.7996228451714464,False,False,True,True,False,False,False,False,True,False,True,True
APGE,CONTROL,2026-05-21,0.0,19.30815555705736,-15.108460700921267,10.596525993976917,13.518335840311568,-1.9101660591143488,1,17.706665039062507,18.186665852864593,0.9736069921949723,0.9636634340928733,1.1725293937409507,1.0232660555671966,45.0,2.3225653943874547,False,False,False,False,False,False,False,True,False,False,True,False
SAFT,GAP,2026-07-24,41.225663131804644,-4.287724132490389,-10.507585637700444,6.821661243181984,7.600709164474045,-0.5412440492463144,1,8.24742856748819,11.481436468183892,0.7183272398312326,0.6313983406210266,1.0357033631244434,0.7996433279057145,35.0,1.16263013569212,False,True,True,True,True,False,False,False,False,False,True,False
SAFT,CONTROL,2026-01-30,0.0,13.207476674218732,-6.356353343187071,1.5265260341305695,1.9925307997312798,-0.09831685390514489,1,6.19042310906408,6.3474979384341434,0.9752540558668048,0.7749496855575867,0.9408330098549558,1.0659123721971773,50.0,1.1682519373563809,True,True,False,False,False,False,False,False,True,False,True,True
SAFT,CONTROL,2026-04-14,0.0,-0.17183433799012882,-10.086992926292481,5.645445414404559,6.872783067221981,0.5539490426798244,0,6.232570059186782,7.5978049919026125,0.8203119276987453,0.7544187589290668,0.8415968856686,1.0838612629812838,55.00000000000001,1.1931187262489973,False,True,False,False,False,False,False,False,False,False,False,True
SAFT,CONTROL,2026-06-25,0.0,1.119277617353065,-10.507585637700444,4.878222635846042,5.563076890526275,1.141000682432347,0,6.101406695575018,9.053439567569566,0.6739324485503764,0.8287550651253367,0.8144803521162843,1.2850432296276124,45.0,1.2243659277660288,False,True,True,False,False,True,False,False,False,False,False,True
MA,GAP,2026-04-29,4.406843102476321,-8.440794762454551,-12.807676572526262,8.440794762454553,9.50805868588617,0.9819503230049875,1,6.424148726293932,8.797789609296824,0.7302003129860469,0.8466270002824456,0.8913855553291724,0.8994626933513101,55.00000000000001,0.8572675926158017,False,False,True,False,False,False,False,False,False,False,False,True
MA,CONTROL,2025-11-04,0.0,-3.6051793193038306,-9.04429768224575,7.593205782219631,8.024704291154482,-1.1090687474665462,0,7.4876177106819375,7.761737313814843,0.9646832156191361,1.080943942553314,0.9916028286943915,1.0321189073171422,35.0,1.0061678736273165,False,True,False,False,False,False,False,False,False,False,False,False
MA,CONTROL,2026-01-16,0.0,-5.4360756891493445,-8.050272567004358,6.899346239997498,8.372410233602547,-0.8130079489853448,1,10.321449178343256,10.321449178343256,1.0,1.192899250593276,1.3613073029080516,1.2981182241692646,50.0,1.5550862808287869,False,True,False,False,False,True,False,True,False,False,True,False
MA,CONTROL,2026-03-31,0.0,-11.987875274420679,-16.43393460201681,13.77287309226642,15.137182265080892,-2.3344613962491767,0,5.523414160287454,9.502601705966839,0.5812528327709676,0.6640019644326132,0.9377304772264081,0.9686372363412562,45.0,1.8794844513451445,False,False,True,True,False,False,False,False,False,False,False,False
PAYO,GAP,2026-05-07,5.555555010474222,-18.999997774759926,-28.83333365122477,18.999997774759926,22.11537961893985,0.35350263260698345,1,8.95832940108261,22.146113352681173,0.4045102297825116,0.4045102297825116,0.9518153964525149,0.8178957953598911,50.0,2.523053358829398,False,False,True,True,False,False,False,False,False,False,False,False
PAYO,CONTROL,2025-11-12,0.0,-13.533835826474583,-24.821686036276624,17.974325074777042,18.497517506615395,-4.706816998406849,0,20.752797331496996,27.060019003634437,0.76691732288546,1.835324479980969,1.3126005223947812,1.2430374207218524,55.00000000000001,3.168229008465596,False,False,False,False,False,True,False,True,False,False,False,False
PAYO,CONTROL,2026-01-23,0.0,0.653594160147164,-14.052282234621028,0.0,1.44000244140625,-0.4311765265176848,1,19.961611405725076,19.961611405725076,1.0,1.481871794517247,1.2496601192364545,1.3540365369510508,55.00000000000001,3.1648180970450994,True,True,False,False,False,True,False,True,False,False,False,True
PAYO,CONTROL,2026-04-09,0.0,-13.30798965100235,-33.592533515980016,29.08242512414267,30.221881419242536,0.06695676663150962,0,16.894971501904198,18.518511159920692,0.9123288236297152,0.757488945023617,0.8679751246307151,0.7695556096556115,40.0,2.1665511406598585,False,False,False,False,True,False,False,False,False,False,False,False
PAYO,GAP,2026-06-15,4.074075486924911,48.351642132784576,-12.71347397948478,0.0,1.4598526426976983,12.197088567852887,1,39.795913700261146,51.54867109597752,0.7720065882235038,2.306121548484332,1.621569086138679,2.05062494427165,65.0,8.03399873902817,True,True,False,False,False,True,False,True,True,False,True,True
PAYO,CONTROL,2025-12-19,0.0,-8.372823686558439,-16.745654906089445,8.372823686558435,9.600992974752675,1.930663737654159,1,7.726464190715898,11.488970467388949,0.6725114502337005,0.6041746559813528,0.8691361100403534,1.1176890768307666,55.00000000000001,1.4202195056989237,False,False,True,True,False,True,False,False,False,False,False,True
PAYO,CONTROL,2026-02-26,0.0,-25.34964794494431,-33.592533515980016,33.592533515980016,34.65952439742667,-8.948562916301906,1,41.67663932039001,56.52693530205206,0.7372881458669324,1.6387571600443909,1.3757626692772014,0.9857103768874698,35.0,7.028060292362293,False,False,True,False,False,False,False,True,False,False,False,False
PAYO,CONTROL,2026-05-15,0.0,-14.972272932077935,-21.07208685099905,14.972272932077937,16.967510174964808,-0.9057610541762462,2,14.7058756309002,16.557728252278636,0.8881578080541581,0.6640386688493038,1.0021883645797813,1.517306589737627,35.0,2.697803389870164,False,False,False,True,False,True,False,False,False,True,False,False
CRNX,GAP,2026-07-07,98.85796873309572,6.056012229362739,-25.017246834235575,3.3571001214580614,4.7154881030914355,5.486559277653247,0,27.09983657422288,35.09953613750763,0.7720853195340035,1.5914994557670266,1.0520371118194272,1.4480795084217268,65.0,3.496698120717509,True,True,False,False,False,True,False,False,True,False,True,True
CRNX,CONTROL,2026-01-12,0.0,30.820129230867433,-10.59616183593841,0.0,4.552514447203413,4.277326383939828,2,33.61751069038108,34.73513114528306,0.9678244930117745,1.8222895984195793,1.514208994922739,1.5827064362629215,40.0,5.624125480287116,True,True,False,False,False,True,False,True,True,True,True,True
CRNX,CONTROL,2026-03-23,0.0,-28.741532053246942,-38.49016676101446,38.49016676101446,40.14485587200563,-9.201884711475072,0,16.28742029396011,35.32933741909472,0.46101686257940183,0.5590625656753652,0.7716524936697714,1.1774616204914723,20.0,2.0945437585402376,False,False,True,True,False,True,True,False,False,False,False,False
CRNX,CONTROL,2026-06-05,0.0,-9.832923356971357,-25.017246834235575,24.30444493350068,24.530034445090525,-5.249990964877771,1,17.027864179295026,34.086694725360104,0.4995457704682201,0.5930877017396972,0.784596082481385,0.8414866493254317,45.0,2.997258514015018,False,False,True,True,False,False,True,False,False,False,False,False
BBVA,GAP,2026-05-26,4.112651058467609,-0.26691980211760447,-12.662475511363358,6.2054487151548,7.332222846592278,0.5633683061717631,1,5.904232655741315,10.048308439823895,0.5875847353910238,0.3552839222942995,0.793157524457731,0.9300214936936085,45.0,1.9787458980815034,False,True,True,True,False,False,True,False,True,False,True,True
BBVA,CONTROL,2025-12-01,0.0,19.552143934473555,-7.329363042817006,0.4580868795527575,1.6297051238275992,2.251901001647272,2,8.213762375120815,13.385666707016375,0.6136237032418715,0.5225477057448585,0.8992441429733596,0.7498551181938745,65.0,1.4756259305447665,True,True,True,True,True,False,False,False,True,True,True,True
BBVA,CONTROL,2026-02-10,0.0,13.604799235308684,-11.145148875335053,5.97472744971336,6.297717389284674,1.3745925174256213,2,13.174946499088813,13.174946499088813,1.0,0.9864101850246104,1.6103174124392885,1.4322320848791592,55.00000000000001,3.784339743159257,False,True,False,False,False,True,False,True,False,True,True,False
