setup,score,clv,body_frac,vol_ratio20,ema20_reclaim,prev_high_reclaim,ret5_before,ret10_before,close,ret_fwd_1d,maxup_fwd_1d,maxdd_fwd_1d,ret_fwd_3d,maxup_fwd_3d,maxdd_fwd_3d,ret_fwd_5d,maxup_fwd_5d,maxdd_fwd_5d,ret_fwd_10d,maxup_fwd_10d,maxdd_fwd_10d,symbol,date
True,7,0.9378879117832776,0.7701868136945367,1.362987987987988,True,False,0.011764611266521952,-0.009258032369987235,30.23412322998047,-0.004844812328106518,0.018411044936832655,-0.00613677017233738,-0.011951003912086477,0.019056995908362406,-0.03036184482193327,-0.0029068747796723304,0.019056995908362406,-0.03036184482193327,0.21511680869839278,0.24838528557945105,-0.03908252161284709,ACA,2019-04-22
True,6,0.8225824314430029,0.6129060044668941,1.1744303840936796,False,False,0.006100813396390681,-0.026700613334606937,33.81807327270508,0.02570036451497737,0.03118689768393068,-0.009817962133841673,0.07017085335308093,0.08056637584994153,-0.009817962133841673,0.1172394772596912,0.1475601002192677,-0.009817962133841673,0.023967860867289525,0.1475601002192677,-0.009817962133841673,ACA,2019-06-03
True,5,0.784314495469113,0.4999999999999982,0.46862824130055086,False,False,-0.05940326520669137,-0.008183909643625809,30.81321907043457,0.01586802749192029,0.02411944489666462,0.004760489904472198,0.016820054669139273,0.04220899094385655,0.0034909507885183544,0.07584902037455765,0.08886075826062556,0.0034909507885183544,0.09457325319880816,0.11234504790678268,0.0034909507885183544,ACA,2019-08-28
True,6,0.7307706415288096,0.5961559622932213,0.5048654979503856,True,False,-0.007486068082244279,-0.006055371787319519,33.70777130126953,-0.011023970467243571,-0.0002900287556306669,-0.020597566805002132,-0.007542984668905128,0.0034811233690119625,-0.021468121348151015,-0.030171485996951186,0.0034811233690119625,-0.04438678947730679,-0.05221965327077316,0.0034811233690119625,-0.058021724640624384,ACA,2019-09-25
True,5,0.7291652593390249,0.40624813736047405,0.6519826068951238,False,False,-0.013787237470618385,-0.0183942995211559,32.876564025878906,0.008031078644118672,0.00981577177270987,-0.00401528794474848,-0.03152901805139097,0.00981577177270987,-0.034206000007043436,-0.012789853886930658,0.00981577177270987,-0.034206000007043436,0.009551779600700527,0.018786434180841916,-0.034206000007043436,ACA,2019-10-03
True,5,0.9507844869152636,0.5480996940565017,0.5927620292459767,False,False,-0.017755079047875766,-0.037792333906501385,43.93312454223633,-0.023655692702967523,0.004016731978399912,-0.024994709828514594,-0.004017086336010722,0.004016731978399912,-0.024994709828514594,0.02053086771895507,0.04597166755855886,-0.024994709828514594,0.06382455898141881,0.0678415246333055,-0.024994709828514594,ACA,2020-01-30
True,6,0.7204657613369851,0.5407655420394364,2.420715093325425,False,False,-0.06688612920103709,-0.09003419710037741,41.71733474731445,0.009635560663276754,0.015040954558222186,-0.047003675812400836,-0.0016449418335802157,0.054054221231231825,-0.047003675812400836,0.019036482339118477,0.054054221231231825,-0.047003675812400836,-0.2260870090012307,0.054054221231231825,-0.2310223572570792,ACA,2020-02-27
True,6,0.988013751199441,0.5393831556298457,1.217465320725106,False,False,-0.04345550691952216,-0.12947272201033888,36.25634002685547,-0.18523561026903168,-0.06057361250558202,-0.22066013549790275,-0.1573823526874235,-0.06057361250558202,-0.23904832733075476,-0.04624140738450955,-0.037588091404590296,-0.23904832733075476,0.07463494207198318,0.07896160084131099,-0.23904832733075476,ACA,2020-03-17
True,5,0.8815166219509548,0.8151662195095494,0.8333748071467675,False,False,-0.03304627655695802,-0.14507131806365559,33.03224563598633,-0.02258532971560323,0.007726723480384168,-0.027042914578440436,-0.04368478399575948,0.007726723480384168,-0.07786011411291582,0.009509879948563338,0.03001504349825268,-0.07786011411291582,0.13462136535628844,0.15156043887186543,-0.07786011411291582,ACA,2020-05-11
True,6,0.9649115370973124,0.35087793658690347,1.2022309440198307,False,False,-0.04443006232369573,-0.03823714412727097,43.75747299194336,0.01752002635571026,0.021787825305895847,-0.0003370723516155083,0.01976617240411027,0.03885867595853654,-0.0003370723516155083,-0.0011233781478627858,0.03885867595853654,-0.06266875360524016,-0.004492553631368246,0.03885867595853654,-0.06266875360524016,ACA,2020-09-15
