min_score,signals,mean_3d,win_3d,mean_5d,win_5d,mean_10d,win_10d
5,840,0.0034444737056657363,0.5357142857142857,0.00609244206448356,0.5441527446300716,0.012499938794683871,0.5663082437275986
6,449,0.004142690758311168,0.5233853006681515,0.007056495009620836,0.5379464285714286,0.01613523250815359,0.5669642857142857
7,64,0.002920621815384765,0.484375,0.00658569728397663,0.59375,0.03528379880608697,0.703125
8,14,0.023667928624250694,0.7857142857142857,0.044531783530000195,0.7857142857142857,0.07509144484301211,0.7142857142857143
