horizon,signals,mean_return,median_return,win_rate,base_mean,base_win_rate,mean_edge,win_edge
1,840,0.001035708014949986,0.0010420308330139072,0.5178571428571429,0.0009375658905162619,0.5074912856473083,9.814212443372402e-05,0.010365857209834628
3,840,0.0034444737056657363,0.0025347863253867287,0.5357142857142857,0.002764266542094101,0.523661816623472,0.0006802071635716354,0.0120524690908137
5,838,0.00609244206448356,0.00423866757457525,0.5441527446300716,0.004539775455165744,0.5331876034239719,0.0015526666093178161,0.010965141206099704
10,837,0.012499938794683871,0.009371895544976194,0.5663082437275986,0.008839849569231844,0.5422010079075675,0.003660089225452027,0.024107235820031048
